path,directory,filename,bytes,words,extension,depth,readable,is_empty,sha256,exact_duplicate_group_size,exact_duplicate_group,duplicate_representative,is_exact_duplicate_copy,analysis_class,substantive_synthesis_included,exclusion_reason,near_duplicate_cluster
Catchments-ELDS-Additions-03-09-2026.md,.,Catchments-ELDS-Additions-03-09-2026.md,16561,1966,.md,0,True,False,004d193da7c8a1d12b1025f4693feece2f5a209a46747b2ad49680190fbde165,1,,Catchments-ELDS-Additions-03-09-2026.md,False,product_discovery_or_decision,True,,
Education Services & Access - Product Discovery Additions 03-09-2026.md,.,Education Services & Access - Product Discovery Additions 03-09-2026.md,26737,3106,.md,0,True,False,39d6828ca1a84fd111321c1d05b58dd11b4e084fa670d634f4c6d1d7df224746,1,,Education Services & Access - Product Discovery Additions 03-09-2026.md,False,product_discovery_or_decision,True,,
JSONB usage principles 02-09-26.md,.,JSONB usage principles 02-09-26.md,1919,203,.md,0,True,False,764d821a933a732d46b256ca967160da0c702790cd2a7dd9445a440ca2a6cbce,1,,JSONB usage principles 02-09-26.md,False,technical_constraint,True,Technical modelling constraint retained because it constrains canonical information representation; not user/problem evidence.,
MANIFEST.md,.,MANIFEST.md,6575,498,.md,0,True,False,b2eff185556a4ff128ad6d3a55ddf517f88942f67a1689b3be62db8c0483b667,2,XD-057,MANIFEST.md,False,metadata_orientation,False,Used for corpus/authority/chronology only; no independent product conclusion relies on it.,
News  Post-UTME - Product Discovery Additions 03-09-2026.md,.,News  Post-UTME - Product Discovery Additions 03-09-2026.md,23218,2668,.md,0,True,False,2ffac781d202a1ebea360ed92c5a5a69b24e4a8aa77f4bf00471d6c6c90b704b,1,,News  Post-UTME - Product Discovery Additions 03-09-2026.md,False,product_discovery_or_decision,True,,
News Post-UTME - Product Discovery Additions V2 03-09-2026.md,.,News Post-UTME - Product Discovery Additions V2 03-09-2026.md,22174,2514,.md,0,True,False,398db515fa3e6df8dbcc69186d7fb9e973856b89eb322eb179de74083a9f5cb5,1,,News Post-UTME - Product Discovery Additions V2 03-09-2026.md,False,product_discovery_or_decision,True,,
PRE-IMPLEMENTATION-BASELINE-REPORT.md,.,PRE-IMPLEMENTATION-BASELINE-REPORT.md,6305,729,.md,0,True,False,2605abb52242ed2eb90a8a260c7a0aee9f925bd3098b7fa716906963aa01ead1,3,XD-015,PRE-IMPLEMENTATION-BASELINE-REPORT.md,False,audit_or_report_mixed,True,,
Proposed Product Discovery Addition 02-09-2026.md,.,Proposed Product Discovery Addition 02-09-2026.md,19951,2420,.md,0,True,False,abf807dd295540a136853f6db4fc5df2de0df1b6ab945e196465e11840c91be0,1,,Proposed Product Discovery Addition 02-09-2026.md,False,product_discovery_or_decision,True,,
Ranking - Product Discovery Additions 03-09-2026.md,.,Ranking - Product Discovery Additions 03-09-2026.md,0,0,.md,0,True,True,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1,,Ranking - Product Discovery Additions 03-09-2026.md,False,empty,False,Empty file; no substantive content.,
STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/00-ORIENTATION/AUTHORITY-HIERARCHY.md,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/00-ORIENTATION,AUTHORITY-HIERARCHY.md,6533,798,.md,3,True,False,61d4f6212b8e1d5221e074a76acb5a7854da9fd7757fb6b7cfa90ab88f373595,1,,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/00-ORIENTATION/AUTHORITY-HIERARCHY.md,False,metadata_orientation,False,Used for corpus/authority/chronology only; no independent product conclusion relies on it.,
