cluster,path_a,path_b,cosine_similarity,comparison_method,threshold,normalization_tokenization,grouping_rule,semantic_equivalence_inferred
ND-001,StudyNexus-Independent-Audit-Package-v3/01-CANONICAL/02-decisions.md,StudyNexus-Independent-Audit-Package-v4/01-CANONICAL/02-decisions.md,0.999530,TF-IDF cosine similarity on byte-unique full Markdown texts,0.96,lowercase; Unicode accent stripping; word 1-2 grams; token length >=2; sublinear TF; L2 normalization,Undirected connected component of pairs >= threshold; exact duplicates excluded before comparison,NO
ND-001,StudyNexus-V4.2-Developer-Handoff v2/PRE-IMPLEMENTATION-BASELINE-V2/canonical/02-decisions.md,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/canonical/02-decisions.md,0.989786,TF-IDF cosine similarity on byte-unique full Markdown texts,0.96,lowercase; Unicode accent stripping; word 1-2 grams; token length >=2; sublinear TF; L2 normalization,Undirected connected component of pairs >= threshold; exact duplicates excluded before comparison,NO
ND-001,StudyNexus-Independent-Audit-Package-v4/01-CANONICAL/02-decisions.md,StudyNexus-V4.2-Developer-Handoff v2/PRE-IMPLEMENTATION-BASELINE-V2/canonical/02-decisions.md,0.976621,TF-IDF cosine similarity on byte-unique full Markdown texts,0.96,lowercase; Unicode accent stripping; word 1-2 grams; token length >=2; sublinear TF; L2 normalization,Undirected connected component of pairs >= threshold; exact duplicates excluded before comparison,NO
ND-001,StudyNexus-Independent-Audit-Package-v3/01-CANONICAL/02-decisions.md,StudyNexus-V4.2-Developer-Handoff v2/PRE-IMPLEMENTATION-BASELINE-V2/canonical/02-decisions.md,0.975916,TF-IDF cosine similarity on byte-unique full Markdown texts,0.96,lowercase; Unicode accent stripping; word 1-2 grams; token length >=2; sublinear TF; L2 normalization,Undirected connected component of pairs >= threshold; exact duplicates excluded before comparison,NO
ND-001,StudyNexus-Independent-Audit-Package-v4/01-CANONICAL/02-decisions.md,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/canonical/02-decisions.md,0.966547,TF-IDF cosine similarity on byte-unique full Markdown texts,0.96,lowercase; Unicode accent stripping; word 1-2 grams; token length >=2; sublinear TF; L2 normalization,Undirected connected component of pairs >= threshold; exact duplicates excluded before comparison,NO
ND-001,StudyNexus-Independent-Audit-Package-v3/01-CANONICAL/02-decisions.md,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/canonical/02-decisions.md,0.965847,TF-IDF cosine similarity on byte-unique full Markdown texts,0.96,lowercase; Unicode accent stripping; word 1-2 grams; token length >=2; sublinear TF; L2 normalization,Undirected connected component of pairs >= threshold; exact duplicates excluded before comparison,NO
ND-001,StudyNexus-Independent-Audit-Package-v3/01-CANONICAL/02-decisions.md,StudyNexus-Pre-Implementation-Baseline/PRE-IMPLEMENTATION-BASELINE/canonical/02-decisions.md,0.961312,TF-IDF cosine similarity on byte-unique full Markdown texts,0.96,lowercase; Unicode accent stripping; word 1-2 grams; token length >=2; sublinear TF; L2 normalization,Undirected connected component of pairs >= threshold; exact duplicates excluded before comparison,NO
ND-001,StudyNexus-Independent-Audit-Package-v4/01-CANONICAL/02-decisions.md,StudyNexus-Pre-Implementation-Baseline/PRE-IMPLEMENTATION-BASELINE/canonical/02-decisions.md,0.961041,TF-IDF cosine similarity on byte-unique full Markdown texts,0.96,lowercase; Unicode accent stripping; word 1-2 grams; token length >=2; sublinear TF; L2 normalization,Undirected connected component of pairs >= threshold; exact duplicates excluded before comparison,NO
ND-002,StudyNexus-Independent-Audit-Package-v3/01-CANONICAL/04-architecture.md,StudyNexus-Pre-Implementation-Baseline/PRE-IMPLEMENTATION-BASELINE/canonical/04-architecture.md,0.975650,TF-IDF cosine similarity on byte-unique full Markdown texts,0.96,lowercase; Unicode accent stripping; word 1-2 grams; token length >=2; sublinear TF; L2 normalization,Undirected connected component of pairs >= threshold; exact duplicates excluded before comparison,NO
ND-003,StudyNexus-V4.2-Developer-Handoff v2/PRE-IMPLEMENTATION-BASELINE-V2/product-experience/FIRST-VERTICAL-SLICE-UX.md,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/product-experience/FIRST-VERTICAL-SLICE-UX.md,0.997275,TF-IDF cosine similarity on byte-unique full Markdown texts,0.96,lowercase; Unicode accent stripping; word 1-2 grams; token length >=2; sublinear TF; L2 normalization,Undirected connected component of pairs >= threshold; exact duplicates excluded before comparison,NO
ND-003,StudyNexus-Independent-Audit-Package-v3/02-PRODUCT-EXPERIENCE/FIRST-VERTICAL-SLICE-UX.md,StudyNexus-V4.2-Developer-Handoff v2/PRE-IMPLEMENTATION-BASELINE-V2/product-experience/FIRST-VERTICAL-SLICE-UX.md,0.993118,TF-IDF cosine similarity on byte-unique full Markdown texts,0.96,lowercase; Unicode accent stripping; word 1-2 grams; token length >=2; sublinear TF; L2 normalization,Undirected connected component of pairs >= threshold; exact duplicates excluded before comparison,NO
