claim_id,claim,source_path,source_section,source_date_version,statement_type,decision_authority,historical_state,current_scope_state,delivery_state,evidentiary_relevance,contradicting_evidence,current_assessment,confidence,source_relationship
C001,"StudyNexus is a comprehensive education knowledge platform for Nigeria that aggregates, verifies, organizes and makes education information searchable, comparable and trustworthy.",StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/01-business-overview.md,Identity,2026-08-07/08,DECISION,Stakeholder definition,FROZEN,CURRENT,UNSPECIFIED,High: repeated through business/canonical corpus,"Later scope additions broaden categories, not purpose",Retain as core product purpose; wording should not imply direct empirical validation.,HIGH,PRIMARY_OR_CORROBORATING
C002,Long-term vision is education infrastructure for Africa.,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/03-approved-decisions.md,A0-2,2026-08-07/08,DECISION,Stakeholder definition,FROZEN,FUTURE,UNSPECIFIED,High stakeholder authority; repeated,Later global discovery mentions broader international countries,"Keep as long-term vision, not current scope.",HIGH,PRIMARY_OR_CORROBORATING
C003,"Primary users are secondary students/recent graduates, undergraduates, parents/guardians, and guidance counsellors/teachers.",StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/03-approved-decisions.md,A1-1,2026-08-07/08,DECISION,Stakeholder definition,FROZEN,CURRENT,UNSPECIFIED,Repeated in canonical business,No direct interview validation; later product UX prioritizes first persona,Retain user groups but label evidence as stakeholder-defined rather than empirically validated personas.,HIGH,PRIMARY_OR_CORROBORATING
C004,"Primary user priority: secondary students/graduates first, undergraduates second, parents third, counsellors fourth.",StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/04-open-questions.md,OQ1-1,2026-08-08,DECISION,Owner decision,RESOLVED,CURRENT,UNSPECIFIED,Explicit decision,No usage analytics/user study supports ranking,"Current prioritization assumption/decision, not validated demand ordering.",MEDIUM,PRIMARY_OR_CORROBORATING
C005,"Users manually piece information together from JAMB, WAEC, institution sites, scholarship sites, PDFs, blogs, social media, WhatsApp and friends.",StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/03-approved-decisions.md,A1-3,2026-08-07/08,USER/PROBLEM INSIGHT,Stakeholder definition,FROZEN,CURRENT,UNSPECIFIED,Repeated; plausible problem evidence,No direct behavioral study in corpus,Retain as stakeholder-reported current behavior requiring validation.,MEDIUM,PRIMARY_OR_CORROBORATING
C006,No trusted source presents a complete connected view.,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/03-approved-decisions.md,A3-1,2026-08-07/08,DISCOVERY,Stakeholder definition,FROZEN,CURRENT,UNSPECIFIED,Repeated across business/UX,Direct user-research validation absent,Retain as foundational problem hypothesis/discovery; research strength differs from decision authority.,MEDIUM-HIGH,PRIMARY_OR_CORROBORATING
C007,Users cannot confidently assess reliability/currentness/authority.,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/03-approved-decisions.md,A3-2,2026-08-07/08,DISCOVERY,Stakeholder definition,FROZEN,CURRENT,UNSPECIFIED,Repeated across business/UX,Direct user-research validation absent,Retain as foundational problem hypothesis/discovery; research strength differs from decision authority.,MEDIUM-HIGH,PRIMARY_OR_CORROBORATING
C008,Known-target search is insufficient; structured exploration is needed.,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/03-approved-decisions.md,A3-3,2026-08-07/08,DISCOVERY,Stakeholder definition,FROZEN,CURRENT,UNSPECIFIED,Repeated across business/UX,Direct user-research validation absent,Retain as foundational problem hypothesis/discovery; research strength differs from decision authority.,MEDIUM-HIGH,PRIMARY_OR_CORROBORATING
C009,Educational opportunities lack standardized comparable presentation.,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/03-approved-decisions.md,A3-4,2026-08-07/08,DISCOVERY,Stakeholder definition,FROZEN,CURRENT,UNSPECIFIED,Repeated across business/UX,Direct user-research validation absent,Retain as foundational problem hypothesis/discovery; research strength differs from decision authority.,MEDIUM-HIGH,PRIMARY_OR_CORROBORATING
C010,Information can be practically inaccessible due to format/connectivity/device/usability.,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/03-approved-decisions.md,A3-5,2026-08-07/08,DISCOVERY,Stakeholder definition,FROZEN,CURRENT,UNSPECIFIED,Repeated across business/UX,Direct user-research validation absent,Retain as foundational problem hypothesis/discovery; research strength differs from decision authority.,MEDIUM-HIGH,PRIMARY_OR_CORROBORATING
