record_type,capability_id,capability_name,capability_definition,user_problem,primary_user,current_mvp_scope_status,definition_maturity,strategic_mvp_status,vertical_slice_status,capability_minimum_status,ownership,external_dependencies,exclusions_boundaries,evidence_confidence,claim_ids,decision_ids,resolution_ids,source_paths,open_questions,assumptions
PRODUCT_CAPABILITY,CAP001,Trusted Education Information Management,"Acquire, reconcile, maintain, explain and present trustworthy education information with provenance and controlled correction.","Education information is fragmented, inconsistent, stale or hard to trust.",All primary users; StudyNexus operators,MVP — defined,well defined,IN,FOUNDATIONAL_SUPPORT,DEFINED,StudyNexus owns its accepted canonical representation and information-quality process; external authorities own underlying authoritative facts.,Authoritative/public sources; user reports; external data providers where appropriate.,Does not permit scraper/AI/user input to mutate canonical facts silently.,HIGH,C005 C007 C013 C025 C026 C027 C029 C030 C067,,R018 R019,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/03-approved-decisions.md | StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/04-open-questions.md | StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/canonical/06-data-acquisition.md | News Post-UTME - Product Discovery Additions V2 03-09-2026.md | Education Services & Access - Product Discovery Additions 03-09-2026.md,Category-specific source authority; public trust-signal UX.,
PRODUCT_CAPABILITY,CAP002,Institution Discovery,Help users find and explore educational institutions using meaningful criteria and geography.,Users cannot efficiently discover suitable institutions across fragmented sources.,Prospective students; parents; counsellors,MVP — defined,well defined,IN,FIRST_VERTICAL_SLICE,DEFINED,StudyNexus owns discovery experience and accepted institution representation; institutions/regulators remain authoritative for external facts.,Institution/regulator sources; geography reference information.,Does not enroll users or act as the institution.,HIGH,C001 C008 C013 C053,D001,R017,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/01-business-overview.md | StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/03-approved-decisions.md | StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/product-experience/PRODUCT-EXPERIENCE-DISCOVERY.md,"Facet/relevance refinements are product tuning, not scope blockers.",
PRODUCT_CAPABILITY,CAP003,Institution Information,"Present structured, trustworthy institution identity, location, status and other decision-relevant information.",Users must reconcile scattered institution facts manually.,All primary users,MVP — defined,well defined,IN,FIRST_VERTICAL_SLICE,DEFINED,StudyNexus owns its canonical representation; authoritative institution/regulator facts remain externally owned.,Institution and regulator sources.,Does not make external regulatory decisions.,HIGH,C001 C006 C007 C013 C064,D001,R003,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/01-business-overview.md | StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/03-approved-decisions.md,Exact minimum fact set may evolve.,
PRODUCT_CAPABILITY,CAP004,Institution Offering Information,Represent and expose what an institution actually offers using source-faithful terminology and relevant real-world context.,Programme/course information differs among institutions and must not be flattened into misleading global labels.,Prospective students; advisers,MVP — explicit assumption required,dependent on explicit assumption,IN,FIRST_VERTICAL_SLICE,BOUNDARY_REFINEMENT_REQUIRED,StudyNexus maintains accepted representation of sourced offering facts; institution remains authoritative for its offering.,Institution sources; regulatory/accreditation sources where relevant.,Does not require discovery classification to exist; does not equal Discovery Programme.,MEDIUM-HIGH,C018 C021 C023 C024 C081 C082 C083,D007 D020 D022,R001 R002,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/canonical/01-business.md | StudyNexus-Independent-Audit-Package-v4/03-IMPLEMENTATION/STUDYNEXUS-CANONICAL-REMEDIATION-REPORT.md | STUDYNEXUS_PROGRAMME_DISCOVERY_CLASSIFICATION-18th-Sept-2026.md,Precise offering-context vocabulary for campus/delivery/cycle variations.,Institution Offering is preferred product term; ProgrammeInstance remains historical technical abstraction.
PRODUCT_CAPABILITY,CAP005,Programme / Discovery Curation,Create and maintain StudyNexus-curated discovery concepts/classifications that help users find comparable or related institution offerings without rewriting source-faithful terminology.,Source-faithful offering names are heterogeneous and can impede cross-institution discovery.,Discovery users,MVP — explicit assumption required,dependent on explicit assumption,IN,SUPPORTS_FIRST_VERTICAL_SLICE,BOUNDARY_REFINEMENT_REQUIRED,StudyNexus owns curated discovery concepts/classification; institutions own source-faithful offering facts.,Institution Offering information; possibly subject/qualification taxonomies.,Classification may be optional; unclassified offerings remain valid.,MEDIUM-HIGH,C023 C024 C081 C082 C083,D020 D022,R001 R002,STUDYNEXUS_PROGRAMME_DISCOVERY_CLASSIFICATION-18th-Sept-2026.md,Classification cardinality and vocabulary schemes.,Discovery Programme remains a separate curated product concept.
PRODUCT_CAPABILITY,CAP006,Admissions Information,"Explain institution/offering admission information such as requirements, cut-offs, Post-UTME and applicable admission context.","Applicants face fragmented, contextual and changing admission information.",Prospective applicants; advisers,MVP — defined,well defined,IN,FIRST_VERTICAL_SLICE,DEFINED,StudyNexus owns its accepted representation/explanation; institutions/JAMB/other authorities own authoritative rules.,"Institution, JAMB and other authoritative admission sources.",Information/decision support only; StudyNexus does not execute admission.,HIGH,C014 C022 C036 C037 C047,D008 D014 D017,R015,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/03-approved-decisions.md | StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/V4.2-REMEDIATION-REPORT.md | Catchments-ELDS-Additions-03-09-2026.md | News Post-UTME - Product Discovery Additions V2 03-09-2026.md,Fact-specific authority/precedence remains to be refined.,
PRODUCT_CAPABILITY,CAP007,Requirements and Self-Assessment,Let users understand published requirements and compare their declared circumstances against them without claiming a final admissions decision.,Users need to know whether they appear to meet requirements before acting.,Prospective applicants,MVP — defined,partially defined,IN,SUPPORTS_FIRST_VERTICAL_SLICE,MINIMUM_SELF_ASSESSMENT_DEFINED,StudyNexus owns explanation/self-assessment behavior; authorities own requirements and final eligibility/admission decisions.,Admissions/exam facts and user-declared inputs.,Does not imply fully automated authoritative eligibility evaluation.,HIGH,C017 C036 C047,D004,R015,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/04-open-questions.md | Catchments-ELDS-Additions-03-09-2026.md | News Post-UTME - Product Discovery Additions V2 03-09-2026.md,Exact self-assessment UX and confidence wording.,
PRODUCT_CAPABILITY,CAP008,Comparison,Support side-by-side or contextual comparison of relevant education choices using comparable facts.,Users otherwise manually reconcile inconsistent information across sources.,Prospective students; parents; counsellors,MVP — defined,partially defined,IN,NOT_REQUIRED_AS_DEDICATED_FIRST_SLICE_VIEW,BOUNDARY_REFINEMENT_REQUIRED,StudyNexus owns comparison experience and derived presentation; source owners retain underlying fact authority.,Canonical institution/offering/admission/funding/etc. information.,A dedicated Compare page is not required to prove the capability exists.,HIGH,C009 C013 C014 C071,,R004,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/03-approved-decisions.md | STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/01-business-overview.md,Minimum comparison dimensions and UI form.,
PRODUCT_CAPABILITY,CAP009,Search,Enable intentional retrieval of known or constrained education information using text and structured criteria.,"Users need efficient access to specific institutions, offerings or information.",All primary users,MVP — defined,well defined,IN,FIRST_VERTICAL_SLICE,DEFINED,StudyNexus owns search behavior; technical search engine is implementation.,Canonical and derived StudyNexus information.,Search infrastructure does not define product semantics.,HIGH,C008 C013 C031 C032 C034,D010,R017,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/03-approved-decisions.md | StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/governance/DISCOVERY-CLOSURE.md | StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/canonical/04-architecture.md,Relevance tuning and exact search fields.,
PRODUCT_CAPABILITY,CAP010,Discovery / Exploration,"Enable users to explore alternatives, combinations, related opportunities and geographic options when they do not know the exact target.",Known-target search alone is inadequate for education choice.,Prospective students; advisers,MVP — defined,well defined,IN,FIRST_VERTICAL_SLICE,DEFINED,"StudyNexus owns discovery semantics, curation and user experience.",Canonical/derived education information.,Distinct from search execution and SEO publication.,HIGH,C008 C013 C031 C053 C067,,R017,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/03-approved-decisions.md | StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/product-experience/PRODUCT-EXPERIENCE-DISCOVERY.md | Education Services & Access - Product Discovery Additions 03-09-2026.md,Facet/taxonomy minimums.,
