corpus_id,title,category,subcategory,status,authority,temporal_scope,source_count,source_ids,related_decision_ids,related_question_ids,supersedes,superseded_by,output_path,keywords
COR-PROD-001,Product Definition and Scope Governance,product,scope-governance,CURRENT_SUPPORTING,SUPPORTING,CURRENT,5,SRC-0484 | SRC-0489 | SRC-0524 | SRC-0117 | SRC-0296,R001 | R002 | R003 | R004 | R005 | R006 | R007 | R008 | R010 | R011 | R012 | R013 | R015 | R016 | R017 | R018 | R019 | R020,,,,02-Product/Product-Definition-and-Scope-Governance.md,business overview | business canonical | product discovery | scope | mvp | phase | vision | strategic evolution | discovery closure
COR-PROD-002,"Product Capabilities, Boundaries and Exclusions",product,capabilities,CURRENT_SUPPORTING,SUPPORTING,CURRENT,0,,R004 | R009 | R010 | R012 | R015 | R020,OQ-001 | OQ-002 | OQ-003,,,02-Product/Product-Capabilities-Boundaries-and-Exclusions.md,capabilities | boundary | exclusion | deferral | future capabilities | non-goal | product boundary
COR-PROD-003,Product Experience and First Vertical Slice,product,product-experience,HISTORICAL,HISTORICAL_SUPPORT,HISTORICAL,5,SRC-0532 | SRC-0533 | SRC-0099 | SRC-0100 | SRC-0305,R005,,,,02-Product/Product-Experience-and-First-Vertical-Slice.md,product experience | vertical slice | ui specification | ux specification | first vertical
COR-JOURNEY-001,"Users, Problems and Core Jobs",users-and-journeys,user-model,CURRENT_SUPPORTING,SUPPORTING,CURRENT,4,SRC-0488 | SRC-0490 | SRC-0513 | SRC-0183,R012,,,,03-Users-and-Journeys/Users-Problems-and-Core-Jobs.md,persona | primary users | secondary users | problem space | user jobs | workflows | business workflows
COR-JOURNEY-002,Institution Discovery and Evaluation,users-and-journeys,institution-discovery,CURRENT_SUPPORTING,SUPPORTING,CURRENT,0,,,,,,03-Users-and-Journeys/Institution-Discovery-and-Evaluation.md,institution discovery | explore educational opportunities | evaluate educational opportunities | institution information | discovery filters
COR-JOURNEY-003,"Admissions, Requirements and Self-Assessment",users-and-journeys,admissions,CURRENT_SUPPORTING,SUPPORTING,CURRENT,0,,R015,,,,03-Users-and-Journeys/Admissions-Requirements-and-Self-Assessment.md,admission | eligibility | requirement | self-assessment | cut-off | post-utme | screening
COR-JOURNEY-004,Comparison and Decision Support,users-and-journeys,comparison,CURRENT_SUPPORTING,SUPPORTING,CURRENT,0,,,,,,03-Users-and-Journeys/Comparison-and-Decision-Support.md,compare | comparison | decision support | make an educational decision
COR-JOURNEY-005,Ongoing Learner Pathways,users-and-journeys,ongoing-pathways,CURRENT_SUPPORTING,SUPPORTING,CURRENT,0,,R005 | R006 | R007,,,,03-Users-and-Journeys/Ongoing-Learner-Pathways.md,wf7 | current educational journey | career | transfer | postgraduate | internship | undergraduate
COR-JOURNEY-006,"Persistent Identity, Personalization and Notifications",users-and-journeys,identity-personalization,CURRENT_SUPPORTING,SUPPORTING,CURRENT,0,,R012 | R016,,,,03-Users-and-Journeys/Identity-Personalization-and-Notifications.md,notification | personalization | account | identity | bookmark | saved | preferences
COR-DOM-001,"Institution, Campus, Relationships and Geography",domain-and-concepts,institution-geography,CURRENT_SUPPORTING,SUPPORTING,CURRENT,0,,R001 | R002 | R003 | R009 | R013 | R014 | R016,,,,04-Domain-and-Concepts/Institution-Campus-Relationships-and-Geography.md,institution | campus | geography | location | institution relationship | educational institution
COR-DOM-002,"Institution Offering, Discovery Programme and Classification",domain-and-concepts,programme-language,CURRENT_SUPPORTING,SUPPORTING,CURRENT,1,SRC-0555,R001 | R002,,,,04-Domain-and-Concepts/Institution-Offering-Discovery-Programme-and-Classification.md,institutionoffering | institution offering | discoveryprogramme | discovery programme | programmeinstance | programme instance | classification | programme discovery | programme offering
COR-DOM-003,"Regulatory Status, Accreditation and Qualification Recognition",domain-and-concepts,regulatory-semantics,CURRENT_SUPPORTING,SUPPORTING,CURRENT,0,,R003 | R016,,,,04-Domain-and-Concepts/Regulatory-Status-Accreditation-and-Qualification-Recognition.md,accreditation | qualification recognition | recognition | approval | regulator | awarding authority
COR-DOM-004,Terminology and Vocabulary Evolution,domain-and-concepts,vocabulary,HISTORICAL,HISTORICAL_SUPPORT,HISTORICAL,3,SRC-0519 | SRC-0485 | SRC-0291,R001 | R002 | R003 | R010 | R016 | R020,,,,04-Domain-and-Concepts/Terminology-and-Vocabulary-Evolution.md,glossary | terminology | vocabulary | naming | programme | organization
COR-REQ-001,"Business Rules, Requirements and Invariants",requirements-and-rules,business-rules,HISTORICAL,HISTORICAL_SUPPORT,HISTORICAL,3,SRC-0537 | SRC-0492 | SRC-0496,R015,,,,05-Requirements-and-Rules/Business-Rules-Requirements-and-Invariants.md,business rule | requirement | invariant | validation | policy | rules
COR-REQ-002,"Publication, Visibility and Indexability",requirements-and-rules,publication,CURRENT_SUPPORTING,SUPPORTING,CURRENT,0,,R017,,,,05-Requirements-and-Rules/Publication-Visibility-and-Indexability.md,publication | visibility | indexability | published | canonical url | sitemap
COR-CONTENT-001,"Evergreen Information, Guides and Resources",content-and-knowledge,evergreen-content,CURRENT_SUPPORTING,SUPPORTING,CURRENT,0,,R011,,,,06-Content-and-Knowledge/Evergreen-Information-Guides-and-Resources.md,evergreen | guide | resource | content architecture | article
COR-CONTENT-002,"News, Editorial and Time-Sensitive Information",content-and-knowledge,news,CURRENT_SUPPORTING,SUPPORTING,CURRENT,2,SRC-0005 | SRC-0006,R011,,,,06-Content-and-Knowledge/News-Editorial-and-Time-Sensitive-Information.md,news | post-utme | noticeboard | announcement | editorial | breaking | current education information
COR-SEARCH-001,Search vs Discovery,discovery-search-and-seo,search-discovery,CURRENT_SUPPORTING,SUPPORTING,CURRENT,10,SRC-0009 | SRC-0534 | SRC-0535 | SRC-0024 | SRC-0101 | SRC-0102 | SRC-0129 | SRC-0295 | SRC-0306 | SRC-0307,R001 | R002 | R012 | R017 | R020,,,,07-Discovery-Search-and-SEO/Search-vs-Discovery.md,search | discovery | faceted | query | filters | search architecture
COR-SEARCH-002,"SEO, Canonical URLs and Discovery Landing Pages",discovery-search-and-seo,seo,CURRENT_SUPPORTING,SUPPORTING,CURRENT,0,,R017,,,,07-Discovery-Search-and-SEO/SEO-Canonical-URLs-and-Discovery-Landing-Pages.md,seo | canonical url | landing page | sitemap | indexation | route | slug
COR-SEARCH-003,Historical Search Engine and Typesense Design,discovery-search-and-seo,search-technical,HISTORICAL,TECHNICAL_HISTORY,HISTORICAL,1,SRC-0542,,,,,07-Discovery-Search-and-SEO/Historical-Search-Engine-and-Typesense-Design.md,typesense | postgresql fts | search engine selection | search document | collection | denormalization
COR-INST-001,"Programme Discovery, Classification and Source Naming",institutions-programmes-and-geography,programme-discovery,CURRENT_SUPPORTING,SUPPORTING,CURRENT,0,,R013 | R014 | R017,,,,08-Institutions-Programmes-and-Geography/Programme-Discovery-Classification-and-Source-Naming.md,programme discovery classification | isced | cip | hecos | ccmas | ibass | nbte | ncce | source name | taxonomy
COR-INST-002,"Geography, Catchment and ELDS",institutions-programmes-and-geography,catchment-elds,CURRENT_SUPPORTING,SUPPORTING,CURRENT,1,SRC-0001,R014 | R019,,,,08-Institutions-Programmes-and-Geography/Geography-Catchment-and-ELDS.md,catchment | elds | educationally less developed | state | geography | local government | region
COR-ADM-001,Admissions and Admission Cycles,admissions-funding-and-examinations,admissions,CURRENT_SUPPORTING,SUPPORTING,CURRENT,1,SRC-0493,R015,,,,09-Admissions-Funding-and-Examinations/Admissions-and-Admission-Cycles.md,admission cycle | admission policy | admission | screening | post-utme | cut-off
COR-ADM-002,Funding and Scholarships,admissions-funding-and-examinations,funding-scholarships,CURRENT_SUPPORTING,SUPPORTING,CURRENT,1,SRC-0010,R003 | R015 | R016,,,,09-Admissions-Funding-and-Examinations/Funding-and-Scholarships.md,scholarship | funding | grant | award | bursary | financial
COR-ADM-003,"Examinations, Schedules and Timetables",admissions-funding-and-examinations,examinations,CURRENT_SUPPORTING,SUPPORTING,CURRENT,1,SRC-0008,R010,,,,09-Admissions-Funding-and-Examinations/Examinations-Schedules-and-Timetables.md,timetable | examination | exam schedule | schedule event | test centre | waec | neco | jamb | nabteb
COR-SVC-001,Education Services and Access,services-resources-and-news,education-services,CURRENT_SUPPORTING,SUPPORTING,CURRENT,1,SRC-0002,,OQ-003,,,10-Services-Resources-and-News/Education-Services-and-Access.md,education services | service operator | service location | credential | mobility | study mobility | appointment | service eligibility
