resolution_id,issue_question,relevant_evidence,historical_conclusion,current_assessment,current_scope_implication,decision_status,disposition,confidence,resolution_classification,claim_ids,decision_ids,source_paths,remaining_assumption,affected_product_concept_capability
R001,"How should Programme, ProgrammeInstance, InstitutionOffering and DiscoveryProgramme be reconciled?",Early business meaning; domain-model evolution; reversed ProgrammeOffering/Campus rejection; Sep18 discovery proposal.,Programme began as institution-specific study offering; later abstract Programme + ProgrammeInstance split concrete context; Sep18 proposed InstitutionOffering + DiscoveryProgramme.,Use Institution Offering as preferred business/product term for the source-faithful institution-specific offering. Discovery Programme is a distinct StudyNexus-curated discovery concept. ProgrammeInstance remains historical technical/domain language for contextual variation and is not automatically a product term.,Institution offering and discovery classification are MVP.,CURRENT NORMALIZATION / EXPLICIT ASSUMPTION,Carry into canonical Product Discovery; final UL may refine subordinate offering-context vocabulary.,MEDIUM-HIGH,RESOLVED WITH EXPLICIT ASSUMPTION,C018 C019 C020 C021 C022 C023 C024 C081 C082 C083,D006 D007 D008 D020 D022,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/canonical/01-business.md | StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/11-domain-discovery-topic2.md | StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/18-domain-resolution-analysis.md | StudyNexus-Independent-Audit-Package-v4/03-IMPLEMENTATION/STUDYNEXUS-CANONICAL-REMEDIATION-REPORT.md | StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/V4.2-REMEDIATION-REPORT.md | STUDYNEXUS_PROGRAMME_DISCOVERY_CLASSIFICATION-18th-Sept-2026.md,Representative multi-campus/multi-mode data may prove a stable subordinate Offering Variant/Context concept is needed.,Institution Offering; Discovery Programme; Programme; ProgrammeInstance
R002,Is discovery classification mandatory?,Sep18 proposal; source-faithful offering principle; classification/SEO/discovery evidence.,Earlier programme modelling risked making normalization/master catalogue central; Sep18 explicitly rejected mandatory exhaustive global classification.,"No. An Institution Offering may exist, be public/searchable and remain unclassified. Classification is a StudyNexus-curated discovery aid, not an existence/ingestion gate.",MVP — explicit assumption required.,CURRENT NORMALIZATION / EXPLICIT ASSUMPTION,Preserve optional classification in canonical product model.,MEDIUM-HIGH,RESOLVED WITH EXPLICIT ASSUMPTION,C023 C024 C031 C035 C081 C082 C083,D020 D022,STUDYNEXUS_PROGRAMME_DISCOVERY_CLASSIFICATION-18th-Sept-2026.md | StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/03-approved-decisions.md,Owner/UL ratification remains desirable; exact classification cardinality/schemes remain for later modeling.,Discovery classification; Institution Offering; Discovery Programme
R003,What is Recognition versus Accreditation?,"Domain discovery, trust/comparison needs, accreditation semantics, remediation analysis.","Architecture sometimes used broad Recognition; corpus also separately used accreditation, qualification recognition and recognized/approved institution status.",Do not canonize universal Recognition. Use specific product meanings: Accreditation; Qualification Recognition; Institution Approval/Recognized Status; Regulator/Awarding Authority roles as applicable.,Regulatory legitimacy information is MVP; vocabulary refinement continues in UL.,CURRENT NORMALIZATION,Use specific terms; no generic umbrella by default.,HIGH,RESOLVED,C064 C079 C080,D023,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/01-business-overview.md | STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/16-domain-discovery-topic3.md,Jurisdiction/site/campus-specific accreditation detail remains to refine.,Accreditation; Qualification Recognition; Institution Approval/Status
R004,Do historical Phase 2/3/Future/Deferred labels determine current MVP scope?,Historical roadmap/closure artifacts plus current owner scope rule.,Earlier reconstruction sometimes treated delivery phases as quasi-scope exclusions.,No. Historical phase labels are delivery history. Current MVP membership is determined independently under the current MVP-default rule; underspecification and first-slice omission do not remove a capability.,All capabilities still under current consideration stay in MVP unless explicit current exclusion/deferral evidence exists.,CURRENT OWNER RULE,Apply across canonical document/registers.,HIGH,RESOLVED,C011 C041 C042 C070 C071 C072 C073 C074 C075 C078,D021,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/03-approved-decisions.md | StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/governance/DISCOVERY-CLOSURE.md | Catchments-ELDS-Additions-03-09-2026.md | Scholarships - Product Discovery Additions 03-09-2026.md | News Post-UTME - Product Discovery Additions V2 03-09-2026.md | Education Services & Access - Product Discovery Additions 03-09-2026.md | STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/01-business-overview.md | STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/04-open-questions.md | STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/24-final-platform-and-capability-architecture.md | Proposed Product Discovery Addition 02-09-2026.md | Current remediation protocol (user instruction) | Pasted markdown(20260921-105149).md [current owner instruction; outside historical corpus],None; future owner decisions may change scope explicitly.,Current MVP scope governance
R005,Does WF7 / undergraduate current educational journey remain current?,Approved workflow evidence; no rejection; first-slice omission.,WF7 was approved then disappeared from focused implementation material.,"WF7 remains MVP/current product workflow. Its omission from the first vertical slice was sequencing, not supersession.",MVP — defined at workflow level.,CURRENT ADOPTED,Keep current; refine capability minimums later.,HIGH,RESOLVED,C015 C072,D021,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/04-open-questions.md | STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/04-open-questions.md | Current remediation protocol (user instruction),Detailed content/rule inventory may evolve.,WF7 / undergraduate current journey
R006,Do career pathways remain current?,Original primary-user need; later silence; current scope rule.,Career pathways appeared early and later disappeared without explicit rejection.,"Career pathways remain MVP/current scope but are underspecified. The current evidence supports the need, not a detailed solution.",MVP — underspecified.,CURRENT SCOPE / DISCOVERED NEED,Keep in MVP; research minimum useful decision support.,MEDIUM,NON-BLOCKING OPEN QUESTION,C061 C073,D021,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/01-business-overview.md | STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/01-business-overview.md | Current remediation protocol (user instruction),"Exact job/outcome, authoritative data and minimum experience require user/source research.",Career pathways
R007,"Do transfers, postgraduate pathways and internships remain current?",Undergraduate needs and WF7; later silence; current scope rule.,Explicit early needs were not developed in first-slice work.,All remain MVP/current scope and underspecified; no explicit rejection exists.,MVP — underspecified.,CURRENT SCOPE / DISCOVERED NEED,Keep in MVP while refining each separately.,MEDIUM,NON-BLOCKING OPEN QUESTION,C015 C062 C074,D021,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/04-open-questions.md | StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/01-business-overview.md | STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/01-business-overview.md | Current remediation protocol (user instruction),Minimum product behavior and source authority per journey remain open.,Transfers; Postgraduate pathways; Internships
R008,What is the current status of community/user-contributed information?,"Trust categories, user report workflow, later community ideas.",Community-contributed information was established as a trust category; later full Q&A/community was only a future/speculative direction.,User reports/contributed evidence are MVP inputs to information quality. A full social/community product is not established and remains a distinct unresolved capability question.,MVP for information-quality input; full social/community product genuinely unresolved.,PARTIAL CURRENT DECISION,Preserve input role; do not infer social product.,HIGH,RESOLVED,C025 C063 C069,D021,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/04-open-questions.md | StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/03-approved-decisions.md | Current remediation protocol (user instruction),Whether a full community experience belongs to StudyNexus requires direct discovery.,User contributions; Community
R009,Is rankings/institutional intelligence a current product capability?,Dedicated ranking file is empty; scattered architecture/comparison references only.,"Architecture explored rankings/intelligence, but no substantive ranking discovery was completed.",Genuinely unresolved whether ranking/institutional intelligence is a StudyNexus product capability. Do not infer inclusion or exclusion from architecture.,GENUINELY UNRESOLVED WHETHER PRODUCT CAPABILITY.,UNRESOLVED,Keep outside canonical capability commitments while visible as evidence gap.,HIGH,NON-BLOCKING OPEN QUESTION,C050 C085,D021,Ranking - Product Discovery Additions 03-09-2026.md | Current remediation protocol (user instruction),Need direct problem discovery: imported rankings vs comparative metrics vs StudyNexus-created methodology.,Rankings / Institutional Intelligence
R010,Is examination information current and what is canonical?,Early exam needs; first-slice deferral; Sep02 schedule proposal; current scope rule.,Examination/resource discovery was sequenced later; Sep02 proposed authority→product→administration→schedule events but was not fully ratified.,Examination information/schedules are MVP/current scope. The exact capability boundary and schedule vocabulary are underspecified/proposed. Practice/attempts/scoring/progress are a distinct current deferral.,MVP — boundary requires refinement; practice/assessment currently deferred.,MVP CAPABILITY / PROPOSED MODEL,Carry examination information into canonical scope without promoting proposed schedule model to settled vocabulary.,MEDIUM,NON-BLOCKING OPEN QUESTION,C042 C043 C044 C078,D019 D021,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/governance/DISCOVERY-CLOSURE.md | Proposed Product Discovery Addition 02-09-2026.md | Current remediation protocol (user instruction),Need capability-minimum decision and source/authority rules for schedule changes/conflicts.,Examination information; Examination schedules; Practice/assessment
