cluster,path_a,path_b,cosine_similarity
ND-001,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/GLOSSARY.md,StudyNexus-V4.2-Developer-Handoff v2/PRE-IMPLEMENTATION-BASELINE-V2/GLOSSARY.md,0.9785174371445702
ND-002,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/canonical/01-business.md,StudyNexus-Pre-Implementation-Baseline/PRE-IMPLEMENTATION-BASELINE/canonical/01-business.md,0.9986512300621695
ND-003,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/canonical/02-decisions.md,StudyNexus-Independent-Audit-Package-v3/01-CANONICAL/02-decisions.md,0.9726996343255165
ND-003,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/canonical/02-decisions.md,StudyNexus-Independent-Audit-Package-v4/01-CANONICAL/02-decisions.md,0.9736265777750085
ND-003,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/canonical/02-decisions.md,StudyNexus-V4.2-Developer-Handoff v2/PRE-IMPLEMENTATION-BASELINE-V2/canonical/02-decisions.md,0.9894926174500732
ND-003,StudyNexus-Independent-Audit-Package-v3/01-CANONICAL/02-decisions.md,StudyNexus-Independent-Audit-Package-v4/01-CANONICAL/02-decisions.md,0.9995729805771836
ND-003,StudyNexus-Independent-Audit-Package-v3/01-CANONICAL/02-decisions.md,StudyNexus-V4.2-Developer-Handoff v2/PRE-IMPLEMENTATION-BASELINE-V2/canonical/02-decisions.md,0.9833526695258634
ND-003,StudyNexus-Independent-Audit-Package-v4/01-CANONICAL/02-decisions.md,StudyNexus-V4.2-Developer-Handoff v2/PRE-IMPLEMENTATION-BASELINE-V2/canonical/02-decisions.md,0.9840476513198467
ND-004,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/canonical/03-domain.md,StudyNexus-Independent-Audit-Package-v4/01-CANONICAL/03-domain.md,0.9638981263405266
ND-004,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/canonical/03-domain.md,StudyNexus-V4.2-Developer-Handoff v2/PRE-IMPLEMENTATION-BASELINE-V2/canonical/03-domain.md,0.9843362970919461
ND-004,StudyNexus-Independent-Audit-Package-v4/01-CANONICAL/03-domain.md,StudyNexus-V4.2-Developer-Handoff v2/PRE-IMPLEMENTATION-BASELINE-V2/canonical/03-domain.md,0.9794157693605003
ND-005,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/canonical/04-architecture.md,StudyNexus-V4.2-Developer-Handoff v2/PRE-IMPLEMENTATION-BASELINE-V2/canonical/04-architecture.md,0.9927274922755611
ND-005,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/canonical/04-architecture.md,StudyNexus-V4.3-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/canonical/04-architecture.md,0.9933347757564801
ND-005,StudyNexus-V4.2-Developer-Handoff v2/PRE-IMPLEMENTATION-BASELINE-V2/canonical/04-architecture.md,StudyNexus-V4.3-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/canonical/04-architecture.md,0.9993933052351861
ND-006,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/governance/ADVERSARIAL-DECISION-REVIEW.md,StudyNexus-Independent-Audit-Package-v3/04-GOVERNANCE/ADVERSARIAL-DECISION-REVIEW.md,0.9985431662927154
ND-006,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/governance/ADVERSARIAL-DECISION-REVIEW.md,StudyNexus-V4.2-Developer-Handoff v2/PRE-IMPLEMENTATION-BASELINE-V2/governance/ADVERSARIAL-DECISION-REVIEW.md,0.9989326994352572
ND-006,StudyNexus-Independent-Audit-Package-v3/04-GOVERNANCE/ADVERSARIAL-DECISION-REVIEW.md,StudyNexus-V4.2-Developer-Handoff v2/PRE-IMPLEMENTATION-BASELINE-V2/governance/ADVERSARIAL-DECISION-REVIEW.md,0.9996102766432011
ND-007,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/governance/CANONICAL-CONSISTENCY-AUDIT.md,StudyNexus-V4.2-Developer-Handoff v2/PRE-IMPLEMENTATION-BASELINE-V2/governance/CANONICAL-CONSISTENCY-AUDIT.md,0.9702199986226727
ND-008,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/governance/DISCOVERY-CLOSURE.md,StudyNexus-Independent-Audit-Package-v3/04-GOVERNANCE/DISCOVERY-CLOSURE.md,0.9795615605435724
