decision_id,title,decision_status,decision_statement,period,rationale,affected_areas,superseded_decisions,supporting_sources,current_authority
R001,"How should Programme, ProgrammeInstance, InstitutionOffering and DiscoveryProgramme be reconciled?",CURRENT NORMALIZATION / EXPLICIT ASSUMPTION,Use Institution Offering as preferred business/product term for the source-faithful institution-specific offering. Discovery Programme is a distinct StudyNexus-curated discovery concept. ProgrammeInstance remains historical technical/domain language for contextual variation and is not automatically a product term.,2026-09 accepted Product Discovery handoff,Early business meaning; domain-model evolution; reversed ProgrammeOffering/Campus rejection; Sep18 discovery proposal.,Institution Offering; Discovery Programme; Programme; ProgrammeInstance,,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/canonical/01-business.md | StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/11-domain-discovery-topic2.md | StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/18-domain-resolution-analysis.md | StudyNexus-Independent-Audit-Package-v4/03-IMPLEMENTATION/STUDYNEXUS-CANONICAL-REMEDIATION-REPORT.md | StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/V4.2-REMEDIATION-REPORT.md | STUDYNEXUS_PROGRAMME_DISCOVERY_CLASSIFICATION-18th-Sept-2026.md,ACCEPTED PRODUCT DISCOVERY RESOLUTION LEDGER
R002,Is discovery classification mandatory?,CURRENT NORMALIZATION / EXPLICIT ASSUMPTION,"No. An Institution Offering may exist, be public/searchable and remain unclassified. Classification is a StudyNexus-curated discovery aid, not an existence/ingestion gate.",2026-09 accepted Product Discovery handoff,Sep18 proposal; source-faithful offering principle; classification/SEO/discovery evidence.,Discovery classification; Institution Offering; Discovery Programme,,STUDYNEXUS_PROGRAMME_DISCOVERY_CLASSIFICATION-18th-Sept-2026.md | StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/03-approved-decisions.md,ACCEPTED PRODUCT DISCOVERY RESOLUTION LEDGER
R003,What is Recognition versus Accreditation?,CURRENT NORMALIZATION,Do not canonize universal Recognition. Use specific product meanings: Accreditation; Qualification Recognition; Institution Approval/Recognized Status; Regulator/Awarding Authority roles as applicable.,2026-09 accepted Product Discovery handoff,"Domain discovery, trust/comparison needs, accreditation semantics, remediation analysis.",Accreditation; Qualification Recognition; Institution Approval/Status,,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/01-business-overview.md | STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/16-domain-discovery-topic3.md,ACCEPTED PRODUCT DISCOVERY RESOLUTION LEDGER
R004,Do historical Phase 2/3/Future/Deferred labels determine current MVP scope?,CURRENT ADOPTED PRODUCT-OWNER SCOPE GOVERNANCE RULE,No. Historical phase labels are delivery history. Current MVP membership is determined independently under the current MVP-default rule; underspecification and first-slice omission do not remove a capability.,2026-09 accepted Product Discovery handoff,Historical roadmap/closure artifacts plus current owner scope rule.,Current MVP scope governance,,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/03-approved-decisions.md | StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/governance/DISCOVERY-CLOSURE.md | Catchments-ELDS-Additions-03-09-2026.md | Scholarships - Product Discovery Additions 03-09-2026.md | News Post-UTME - Product Discovery Additions V2 03-09-2026.md | Education Services & Access - Product Discovery Additions 03-09-2026.md | STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/01-business-overview.md | STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/04-open-questions.md | STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/24-final-platform-and-capability-architecture.md | Proposed Product Discovery Addition 02-09-2026.md | Current remediation protocol (user instruction) | Pasted markdown(20260921-105149).md [current owner instruction; outside historical corpus],ACCEPTED PRODUCT DISCOVERY RESOLUTION LEDGER
R005,Does WF7 / undergraduate current educational journey remain current?,CURRENT ADOPTED,"WF7 remains MVP/current product workflow. Its omission from the first vertical slice was sequencing, not supersession.",2026-09 accepted Product Discovery handoff,Approved workflow evidence; no rejection; first-slice omission.,WF7 / undergraduate current journey,,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/04-open-questions.md | STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/04-open-questions.md | Current remediation protocol (user instruction),ACCEPTED PRODUCT DISCOVERY RESOLUTION LEDGER
R006,Do career pathways remain current?,CURRENT SCOPE / DISCOVERED NEED,"Career pathways remain MVP/current scope but are underspecified. The current evidence supports the need, not a detailed solution.",2026-09 accepted Product Discovery handoff,Original primary-user need; later silence; current scope rule.,Career pathways,,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/01-business-overview.md | STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/01-business-overview.md | Current remediation protocol (user instruction),ACCEPTED PRODUCT DISCOVERY RESOLUTION LEDGER
R007,"Do transfers, postgraduate pathways and internships remain current?",CURRENT SCOPE / DISCOVERED NEED,All remain MVP/current scope and underspecified; no explicit rejection exists.,2026-09 accepted Product Discovery handoff,Undergraduate needs and WF7; later silence; current scope rule.,Transfers; Postgraduate pathways; Internships,,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/04-open-questions.md | StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/01-business-overview.md | STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/01-business-overview.md | Current remediation protocol (user instruction),ACCEPTED PRODUCT DISCOVERY RESOLUTION LEDGER
R008,What is the current status of community/user-contributed information?,PARTIAL CURRENT DECISION,User reports/contributed evidence are MVP inputs to information quality. A full social/community product is not established and remains a distinct unresolved capability question.,2026-09 accepted Product Discovery handoff,"Trust categories, user report workflow, later community ideas.",User contributions; Community,,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/04-open-questions.md | StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/03-approved-decisions.md | Current remediation protocol (user instruction),ACCEPTED PRODUCT DISCOVERY RESOLUTION LEDGER
R009,Is rankings/institutional intelligence a current product capability?,UNRESOLVED,Genuinely unresolved whether ranking/institutional intelligence is a StudyNexus product capability. Do not infer inclusion or exclusion from architecture.,2026-09 accepted Product Discovery handoff,Dedicated ranking file is empty; scattered architecture/comparison references only.,Rankings / Institutional Intelligence,,Ranking - Product Discovery Additions 03-09-2026.md | Current remediation protocol (user instruction),ACCEPTED PRODUCT DISCOVERY RESOLUTION LEDGER
R010,Is examination information current and what is canonical?,MVP CAPABILITY / PROPOSED MODEL,Examination information/schedules are MVP/current scope. The exact capability boundary and schedule vocabulary are underspecified/proposed. Practice/attempts/scoring/progress are a distinct current deferral.,2026-09 accepted Product Discovery handoff,Early exam needs; first-slice deferral; Sep02 schedule proposal; current scope rule.,Examination information; Examination schedules; Practice/assessment,,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/governance/DISCOVERY-CLOSURE.md | Proposed Product Discovery Addition 02-09-2026.md | Current remediation protocol (user instruction),ACCEPTED PRODUCT DISCOVERY RESOLUTION LEDGER
R011,Are evergreen guides/resources current?,CURRENT SCOPE,Evergreen guides/resources remain MVP/current scope but are underspecified. News is distinct because of time sensitivity.,2026-09 accepted Product Discovery handoff,Repeated content/resource direction; News distinction; current scope rule.,Evergreen guides/resources/content,,News Post-UTME - Product Discovery Additions V2 03-09-2026.md | STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/24-final-platform-and-capability-architecture.md | Current remediation protocol (user instruction),ACCEPTED PRODUCT DISCOVERY RESOLUTION LEDGER
R012,"Are public accounts, personalization and notifications in current MVP?",CURRENT SCOPE NORMALIZATION,"Yes, they remain in current MVP consideration under the present scope rule because no current explicit exclusion removes them. However, anonymous core discovery must remain usable without an account; persistent identity, personalization and notification minimums are underspecified and need only be introduced where persistent user value requires them.",2026-09 accepted Product Discovery handoff,Historical no-account-required decision; Stage-2 labels; current MVP-default rule.,Public accounts; Persistent identity; Personalization; Notifications,,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/04-open-questions.md | Current remediation protocol (user instruction) | Pasted markdown(20260921-105149).md [current owner instruction; outside historical corpus],ACCEPTED PRODUCT DISCOVERY RESOLUTION LEDGER
R013,Are institution/provider self-service and public APIs current MVP?,ADOPTED EXCLUSION,Remain excluded from current MVP. StudyNexus may consume provider/authority evidence without offering provider self-service.,2026-09 accepted Product Discovery handoff,Explicit historical strategic-MVP exclusions; current protocol preserves evidence-backed exclusions.,Institution/provider participation; Public API,,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/03-approved-decisions.md | Current remediation protocol (user instruction),ACCEPTED PRODUCT DISCOVERY RESOLUTION LEDGER
R014,How should internationalization be treated?,CURRENT ADOPTED,"Nigeria-first public rollout remains current. Multi-country public launch is excluded from current delivery, while jurisdiction-aware internationalization semantics is a current cross-cutting product principle/constraint rather than an ordinary standalone capability.",2026-09 accepted Product Discovery handoff,Nigeria-first decision; later anti-hardcoding/jurisdiction semantics.,Internationalization; Geography,,Catchments-ELDS-Additions-03-09-2026.md | StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/04-open-questions.md | Current remediation protocol (user instruction),ACCEPTED PRODUCT DISCOVERY RESOLUTION LEDGER
R015,What is the current eligibility boundary?,ADOPTED CURRENT DEFERRAL,"Requirements and self-assessment are MVP. Automated deterministic eligibility evaluation remains currently deferred until reliable structured rules and candidate data exist. Admission and funding eligibility are contextual, not one global rules concept.",2026-09 accepted Product Discovery handoff,Approved workflow; staged self-assessment→automation; catchment/admissions/funding distinctions.,Requirements; Eligibility; Self-assessment; Automated evaluation,,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/04-open-questions.md | Catchments-ELDS-Additions-03-09-2026.md | Scholarships - Product Discovery Additions 03-09-2026.md | Current remediation protocol (user instruction),ACCEPTED PRODUCT DISCOVERY RESOLUTION LEDGER
