concept_id,concept_name,concept_type,canonical_definition,product_role,user_relevance,current_mvp_scope_status,definition_maturity,confidence,evidence_basis,claim_ids,decision_ids,resolution_ids,source_paths,assumptions,open_questions,notes
CON001,StudyNexus,PRODUCT_CONCEPT,"A Nigeria-first education information, discovery, knowledge and decision-support product that helps learners and advisers find, understand, compare and judge the trustworthiness of educational opportunities and related information.",Defines the product itself.,All primary users.,MVP — defined,well defined,HIGH,Repeated product identity/problem decisions.,C001 C011 C013 C067,D001,R004 R020,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/01-business-overview.md | StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/03-approved-decisions.md | Education Services & Access - Product Discovery Additions 03-09-2026.md,,Direct customer validation of relative problem severity remains limited.,Not an enrolment/transaction platform.
CON002,Institution,PRODUCT_CONCEPT; DOMAIN_CONCEPT_CANDIDATE,A recognized educational institution represented in StudyNexus. Institution identity is distinct from arbitrary related organizations and from a campus/location.,Anchor for institution information and offerings.,"Students, parents, counsellors, undergraduates.",MVP — defined,well defined,HIGH,Institution discovery and identity repeatedly established.,C001 C051 C052,D001,,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/01-business-overview.md | Catchments-ELDS-Additions-03-09-2026.md | Education Services & Access - Product Discovery Additions 03-09-2026.md | StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/03-approved-decisions.md,,,Do not infer generic parent-child ownership from every relationship.
CON003,Campus,PRODUCT_CONCEPT; DOMAIN_CONCEPT_CANDIDATE,"A named institutional location/branch context where real offering, admission, service or accreditation facts may vary.",Represents meaningful place/context variation within an institution.,Users evaluating actual study/access context.,MVP — defined,partially defined,HIGH,Initially rejected then reintroduced after concrete variation was identified.,C020 C021 C022 C051,D006 D007 D008,R001,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/18-domain-resolution-analysis.md | StudyNexus-Independent-Audit-Package-v4/03-IMPLEMENTATION/STUDYNEXUS-CANONICAL-REMEDIATION-REPORT.md | StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/V4.2-REMEDIATION-REPORT.md | Catchments-ELDS-Additions-03-09-2026.md,,Exact campus vs branch terminology may vary by institution/jurisdiction.,Underlying need is stronger than the historical implementation term.
CON004,Institution Relationship,PRODUCT_CONCEPT; DOMAIN_CONCEPT_CANDIDATE,"An explicit relationship between institutions or education actors, such as affiliation, degree-granting relationship, historical relation or association; relationship does not automatically imply ownership.",Preserves real-world institutional structure without false hierarchy.,Users interpreting institution/award relationships.,MVP — boundary requires refinement,partially defined,MEDIUM-HIGH,Institution-relationship need emerged from domain discovery/architecture review and product information semantics.,C052,,,Education Services & Access - Product Discovery Additions 03-09-2026.md,,Relationship taxonomy needs UL/domain evidence.,Do not introduce universal Organization solely to model relationships.
CON005,Institution Offering,PRODUCT_CONCEPT; BUSINESS_RESPONSIBILITY; DOMAIN_CONCEPT_CANDIDATE,"The source-faithful fact that a specific institution offers a named course/programme, preserving the institution’s own terminology and real-world offering context.",Represents what users can actually study at an institution.,Core prospective-student discovery/evaluation.,MVP — explicit assumption required,dependent on explicit assumption,MEDIUM-HIGH,"Reconciles early Programme meaning, ProgrammeInstance variation and Sep18 InstitutionOffering proposal.",C018 C019 C020 C021 C022 C023 C024 C081,D006 D007 D008 D020 D022,R001 R002,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/canonical/01-business.md | StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/11-domain-discovery-topic2.md | StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/18-domain-resolution-analysis.md | StudyNexus-Independent-Audit-Package-v4/03-IMPLEMENTATION/STUDYNEXUS-CANONICAL-REMEDIATION-REPORT.md | StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/V4.2-REMEDIATION-REPORT.md | STUDYNEXUS_PROGRAMME_DISCOVERY_CLASSIFICATION-18th-Sept-2026.md,"Preferred product term is a reversible normalization assumption, not a schema decision.",Whether a stable subordinate Offering Variant/Context term is needed.,Bare Programme should not substitute for this when context matters.
CON006,Discovery Programme,PRODUCT_CONCEPT; DERIVED/DISCOVERY_CONCEPT,"A StudyNexus-curated concept used to group or relate institution offerings for cross-institution discovery, comparison, facets and publication where useful.",Creates a normalized discovery vocabulary without rewriting institutional terminology.,Users exploring equivalent/related study options.,MVP — explicit assumption required,dependent on explicit assumption,MEDIUM-HIGH,Sep18 distinction plus search/discovery needs.,C023 C024 C031 C081 C082 C083,D020 D022,R001 R002,STUDYNEXUS_PROGRAMME_DISCOVERY_CLASSIFICATION-18th-Sept-2026.md | StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/03-approved-decisions.md,Distinct from Institution Offering; classification is optional.,Final UL name and classification scheme/cardinality.,Absence of mapping must not erase or block an Institution Offering.
CON007,Programme,OVERLOADED_PRODUCT_TERM,"A historically overloaded word: at different times it meant an institution-specific course of study, an abstract programme/template, a discovery concept, or a contextual delivery instance.",Term to qualify rather than globally canonize.,All programme-related journeys.,MVP — vocabulary caution,genuinely unresolved as unqualified term,HIGH,Terminology archaeology proves semantic drift.,C018 C019 C020 C021 C023 C081,D006 D007 D020 D022,R001,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/canonical/01-business.md | StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/11-domain-discovery-topic2.md | StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/18-domain-resolution-analysis.md | StudyNexus-Independent-Audit-Package-v4/03-IMPLEMENTATION/STUDYNEXUS-CANONICAL-REMEDIATION-REPORT.md | STUDYNEXUS_PROGRAMME_DISCOVERY_CLASSIFICATION-18th-Sept-2026.md,,UL must decide which qualified programme terms remain useful.,Do not use bare Programme where meaning is ambiguous.
CON008,ProgrammeInstance,HISTORICAL_DOMAIN_TECHNICAL_CONCEPT,Historical model introduced to capture concrete campus/delivery/year context under an abstract Programme. The contextual variation is real; this name is not required as product language.,Historical diagnostic showing that actual offerings vary by context.,Indirect user relevance through accurate offering facts.,HISTORICAL / not a scope concept,historical technical term,HIGH,Reversed earlier rejection and repaired concrete variation.,C020 C021 C022 C081,D006 D007 D008 D022,R001,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/18-domain-resolution-analysis.md | StudyNexus-Independent-Audit-Package-v4/03-IMPLEMENTATION/STUDYNEXUS-CANONICAL-REMEDIATION-REPORT.md | StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/V4.2-REMEDIATION-REPORT.md | STUDYNEXUS_PROGRAMME_DISCOVERY_CLASSIFICATION-18th-Sept-2026.md,,Could be replaced by clearer UL term if subordinate offering context proves necessary.,Do not treat this historical model name as a product fact.
CON009,Qualification,PRODUCT_CONCEPT; DOMAIN_CONCEPT_CANDIDATE,"A credential/award context associated with study, distinct from subject/programme classification; terminology and external recognition vary by authority/jurisdiction.",Explains what credential is pursued/awarded.,Users evaluating education outcomes and recognition.,MVP — defined,partially defined,MEDIUM-HIGH,"Qualification appears across programme, admission and recognition material.",C038 C064 C080,D023,R001,Catchments-ELDS-Additions-03-09-2026.md | StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/01-business-overview.md | STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/16-domain-discovery-topic3.md,,International qualification vocabularies require later research.,Do not equate qualification with Discovery Programme.
CON010,Admission,PRODUCT_CONCEPT,"Information about how a learner may enter an institution or offering, including published requirements, cutoffs, cycles and jurisdiction-specific policy factors.",Supports admission research and self-assessment.,"Prospective students, parents, counsellors.",MVP — defined,well defined,HIGH,Core workflows and later admissions additions.,C014 C017 C022 C036 C037 C047,D004 D008 D014 D017,R015,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/03-approved-decisions.md | StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/04-open-questions.md | StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/V4.2-REMEDIATION-REPORT.md | Catchments-ELDS-Additions-03-09-2026.md | News Post-UTME - Product Discovery Additions V2 03-09-2026.md,,,StudyNexus informs/assesses; it does not run enrolment/admission transactions.
