reconstructed_document_id,document_kind,output_path,title,source_ids,authority_sources,merge_type,material_changes,historical_conflicts,resolution_reference,editorial_notes,reviewer_status
COR-PROD-001,SOURCE_RECONSTRUCTION,02-Product/Product-Definition-and-Scope-Governance.md,Product Definition and Scope Governance,SRC-0484 | SRC-0489 | SRC-0524 | SRC-0117 | SRC-0296,,MERGED_EVOLVING_SOURCES,Deduplicated historical copies; organized by subject; current product meaning constrained by accepted Product Discovery.,Historical differences retained through source lineage/status; no false consensus asserted.,R001 | R002 | R003 | R004 | R005 | R006 | R007 | R008 | R010 | R011 | R012 | R013 | R015 | R016 | R017 | R018 | R019 | R020,Explains the product-definition history and the current scope-governance overlay without replacing the accepted Product Discovery.,QA_CHECKED
COR-PROD-002,AUTHORITY_OVERLAY,02-Product/Product-Capabilities-Boundaries-and-Exclusions.md,"Product Capabilities, Boundaries and Exclusions",,StudyNexus-Canonical-Product-Discovery-FINAL.md | StudyNexus-Canonical-Product-Concept-Register-FINAL.csv | StudyNexus-Canonical-Capability-Scope-FINAL.csv | StudyNexus-Product-Discovery-Resolution-Ledger-FINAL.csv | StudyNexus-Product-Discovery-Traceability-Map.csv | StudyNexus-Product-Discovery-Handoff-README.md,AUTHORITY_OVERLAY_NAVIGATION,Current-authority navigation overlay derived from the accepted Product Discovery/final supporting artifacts; no historical SRC-* lineage is claimed.,Historical evidence remains in related SOURCE_RECONSTRUCTION dossiers; this overlay does not create independent historical evidence.,R004 | R009 | R010 | R012 | R015 | R020,Consolidates capability/boundary evidence and points to the accepted capability register for current authority.,QA_CHECKED
COR-PROD-003,SOURCE_RECONSTRUCTION,02-Product/Product-Experience-and-First-Vertical-Slice.md,Product Experience and First Vertical Slice,SRC-0532 | SRC-0533 | SRC-0099 | SRC-0100 | SRC-0305,,MERGED_EVOLVING_SOURCES,Deduplicated historical copies; organized by subject; current product meaning constrained by accepted Product Discovery.,Historical differences retained through source lineage/status; no false consensus asserted.,R005,Preserves product-experience and first-slice work as sequencing/history rather than current scope authority.,QA_CHECKED
COR-JOURNEY-001,SOURCE_RECONSTRUCTION,03-Users-and-Journeys/Users-Problems-and-Core-Jobs.md,"Users, Problems and Core Jobs",SRC-0488 | SRC-0490 | SRC-0513 | SRC-0183,,MERGED_EVOLVING_SOURCES,Deduplicated historical copies; organized by subject; current product meaning constrained by accepted Product Discovery.,Historical differences retained through source lineage/status; no false consensus asserted.,R012,Consolidates historical user/problem/workflow evidence under the accepted current user model.,QA_CHECKED
COR-JOURNEY-002,AUTHORITY_OVERLAY,03-Users-and-Journeys/Institution-Discovery-and-Evaluation.md,Institution Discovery and Evaluation,,StudyNexus-Canonical-Product-Discovery-FINAL.md | StudyNexus-Canonical-Product-Concept-Register-FINAL.csv | StudyNexus-Canonical-Capability-Scope-FINAL.csv | StudyNexus-Product-Discovery-Resolution-Ledger-FINAL.csv | StudyNexus-Product-Discovery-Traceability-Map.csv | StudyNexus-Product-Discovery-Handoff-README.md,AUTHORITY_OVERLAY_NAVIGATION,Current-authority navigation overlay derived from the accepted Product Discovery/final supporting artifacts; no historical SRC-* lineage is claimed.,Historical evidence remains in related SOURCE_RECONSTRUCTION dossiers; this overlay does not create independent historical evidence.,,Subject dossier for institution discovery and evaluation.,QA_CHECKED
COR-JOURNEY-003,AUTHORITY_OVERLAY,03-Users-and-Journeys/Admissions-Requirements-and-Self-Assessment.md,"Admissions, Requirements and Self-Assessment",,StudyNexus-Canonical-Product-Discovery-FINAL.md | StudyNexus-Canonical-Product-Concept-Register-FINAL.csv | StudyNexus-Canonical-Capability-Scope-FINAL.csv | StudyNexus-Product-Discovery-Resolution-Ledger-FINAL.csv | StudyNexus-Product-Discovery-Traceability-Map.csv | StudyNexus-Product-Discovery-Handoff-README.md,AUTHORITY_OVERLAY_NAVIGATION,Current-authority navigation overlay derived from the accepted Product Discovery/final supporting artifacts; no historical SRC-* lineage is claimed.,Historical evidence remains in related SOURCE_RECONSTRUCTION dossiers; this overlay does not create independent historical evidence.,R015,Preserves the distinction between information/requirements/self-assessment and authoritative eligibility decisions.,QA_CHECKED
COR-JOURNEY-004,AUTHORITY_OVERLAY,03-Users-and-Journeys/Comparison-and-Decision-Support.md,Comparison and Decision Support,,StudyNexus-Canonical-Product-Discovery-FINAL.md | StudyNexus-Canonical-Product-Concept-Register-FINAL.csv | StudyNexus-Canonical-Capability-Scope-FINAL.csv | StudyNexus-Product-Discovery-Resolution-Ledger-FINAL.csv | StudyNexus-Product-Discovery-Traceability-Map.csv | StudyNexus-Product-Discovery-Handoff-README.md,AUTHORITY_OVERLAY_NAVIGATION,Current-authority navigation overlay derived from the accepted Product Discovery/final supporting artifacts; no historical SRC-* lineage is claimed.,Historical evidence remains in related SOURCE_RECONSTRUCTION dossiers; this overlay does not create independent historical evidence.,,Consolidates comparison and decision-support material.,QA_CHECKED
COR-JOURNEY-005,AUTHORITY_OVERLAY,03-Users-and-Journeys/Ongoing-Learner-Pathways.md,Ongoing Learner Pathways,,StudyNexus-Canonical-Product-Discovery-FINAL.md | StudyNexus-Canonical-Product-Concept-Register-FINAL.csv | StudyNexus-Canonical-Capability-Scope-FINAL.csv | StudyNexus-Product-Discovery-Resolution-Ledger-FINAL.csv | StudyNexus-Product-Discovery-Traceability-Map.csv | StudyNexus-Product-Discovery-Handoff-README.md,AUTHORITY_OVERLAY_NAVIGATION,Current-authority navigation overlay derived from the accepted Product Discovery/final supporting artifacts; no historical SRC-* lineage is claimed.,Historical evidence remains in related SOURCE_RECONSTRUCTION dossiers; this overlay does not create independent historical evidence.,R005 | R006 | R007,"Covers the current-undergraduate journey plus career, transfer, postgraduate and internship pathways.",QA_CHECKED
COR-JOURNEY-006,AUTHORITY_OVERLAY,03-Users-and-Journeys/Identity-Personalization-and-Notifications.md,"Persistent Identity, Personalization and Notifications",,StudyNexus-Canonical-Product-Discovery-FINAL.md | StudyNexus-Canonical-Product-Concept-Register-FINAL.csv | StudyNexus-Canonical-Capability-Scope-FINAL.csv | StudyNexus-Product-Discovery-Resolution-Ledger-FINAL.csv | StudyNexus-Product-Discovery-Traceability-Map.csv | StudyNexus-Product-Discovery-Handoff-README.md,AUTHORITY_OVERLAY_NAVIGATION,Current-authority navigation overlay derived from the accepted Product Discovery/final supporting artifacts; no historical SRC-* lineage is claimed.,Historical evidence remains in related SOURCE_RECONSTRUCTION dossiers; this overlay does not create independent historical evidence.,R012 | R016,Tracks the current assumption that persistent identity/personalization/notifications remain MVP considerations while anonymous core use stays viable.,QA_CHECKED
COR-DOM-001,AUTHORITY_OVERLAY,04-Domain-and-Concepts/Institution-Campus-Relationships-and-Geography.md,"Institution, Campus, Relationships and Geography",,StudyNexus-Canonical-Product-Discovery-FINAL.md | StudyNexus-Canonical-Product-Concept-Register-FINAL.csv | StudyNexus-Canonical-Capability-Scope-FINAL.csv | StudyNexus-Product-Discovery-Resolution-Ledger-FINAL.csv | StudyNexus-Product-Discovery-Traceability-Map.csv | StudyNexus-Product-Discovery-Handoff-README.md,AUTHORITY_OVERLAY_NAVIGATION,Current-authority navigation overlay derived from the accepted Product Discovery/final supporting artifacts; no historical SRC-* lineage is claimed.,Historical evidence remains in related SOURCE_RECONSTRUCTION dossiers; this overlay does not create independent historical evidence.,R001 | R002 | R003 | R009 | R013 | R014 | R016,Consolidates institution/campus/geography vocabulary while preserving source-system and product distinctions.,QA_CHECKED
