decision_id,date_from,date_to,context,problem,alternatives,decision,rationale,source_path,decision_authority,historical_state,current_scope_effect,delivery_effect,later_challenge,current_assessment,confidence
D001,2026-08-07,2026-08-08,Business discovery,Define product identity,Directory/portal vs knowledge platform,Trusted education knowledge platform; search/discover/compare/verify,Solves fragmented/trust/comparison/accessibility problems,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/03-approved-decisions.md,Historical stakeholder/canonical authority as stated in source,ADOPTED,CURRENT,UNSPECIFIED,No direct user validation,CURRENT,HIGH
D002,2026-08-08,2026-08-08,Persona priority,Sequence primary users,Equal vs ranked,Secondary student/graduate > undergraduate > parent > counsellor,Business impact/usage/strategic value judgment,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/04-open-questions.md,Historical stakeholder/canonical authority as stated in source,ADOPTED,CURRENT,UNSPECIFIED,No analytics/interviews,CURRENT ASSUMPTION,HIGH
D003,2026-08-08,2026-08-08,MVP identity,Need accounts?,Account-first vs anonymous core,No account for core MVP,Core discovery/search/compare requires no persistence,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/04-open-questions.md,Historical stakeholder/canonical authority as stated in source,ADOPTED,EXCLUDED_FROM_STRATEGIC_MVP,UNSPECIFIED,Future personalization needs identity,CURRENT MVP,HIGH
D004,2026-08-08,2026-08-08,Eligibility,Should system determine eligibility?,Information only vs automation,"Start self-assessment, progress to structured evaluation",Rule reliability must mature first,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/04-open-questions.md,Historical stakeholder/canonical authority as stated in source,DEFERRED,CURRENT_REQUIREMENTS_DEFERRED_AUTOMATION,UNSPECIFIED,Future rule engine ideas,DEFERRED AUTOMATION,MEDIUM
D005,2026-08-08,2026-08-08,Geography,Day-one countries,Nigeria + foreign vs Nigeria only,Nigeria only initially,Prove local model first,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/04-open-questions.md,Historical stakeholder/canonical authority as stated in source,ADOPTED,CURRENT,UNSPECIFIED,Sep additions stress international semantics,CURRENT SCOPE,HIGH
D006,2026-08-07,2026-08-07,Domain modelling,Programme Offering/Campus,Add entity now vs keep simple,Rejected/deferred,Perceived insufficient independent behavior/complexity,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/18-domain-resolution-analysis.md,Historical stakeholder/canonical authority as stated in source,REVERSED,HISTORICAL_ONLY,UNSPECIFIED,Audit later found concrete instance variation,REVERSED,HIGH
D007,2026-08-18,2026-08-18,Domain remediation,Programme instance/campus variation,Keep Programme-only vs add instance/campus,Add ProgrammeInstance + Campus,"Campus, delivery mode, academic year variation",StudyNexus-Independent-Audit-Package-v4/03-IMPLEMENTATION/STUDYNEXUS-CANONICAL-REMEDIATION-REPORT.md,Historical stakeholder/canonical authority as stated in source,ADOPTED,CURRENT,UNSPECIFIED,Sep18 introduces InstitutionOffering terminology,CURRENT BUT SEMANTICS OPEN,HIGH
D008,2026-08-19,2026-08-19,Admissions scoping,Where policies/cutoffs apply,Programme vs ProgrammeInstance,Move to ProgrammeInstance with institution fallback,Different concrete instances can differ,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/V4.2-REMEDIATION-REPORT.md,Historical stakeholder/canonical authority as stated in source,ADOPTED,CURRENT,UNSPECIFIED,InstitutionOffering reconciliation unresolved,CURRENT DISCOVERY SIGNAL,HIGH
D009,2026-08-10,2026-08-19,First public vertical slice,How much scholarship UX,Full scholarship public pages vs inline/admin,Public pages Phase2; entity/admin + inline relation in slice,Not required to validate programme-discovery loop,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/governance/DISCOVERY-CLOSURE.md,Historical stakeholder/canonical authority as stated in source,ADOPTED,CURRENT_CAPABILITY_HISTORICAL_DELIVERY_DEFERRAL,HISTORICAL_PHASE_2,Sep03 approves richer scholarship model but no roadmap amendment,CURRENT UNTIL REVISED,HIGH
D010,2026-08-10,2026-08-19,Search serving,Search/detail data sources,Typesense vs PostgreSQL,Typesense list/search; PostgreSQL detail/canonical,Faceting/ranking vs full graph,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/governance/DISCOVERY-CLOSURE.md,Historical stakeholder/canonical authority as stated in source,ADOPTED,CURRENT,UNSPECIFIED,V4.7 changes fallback only,CURRENT TECHNICAL,HIGH
D011,2026-08-26,2026-08-26,Search resilience,Postgres public fallback,Fallback vs explicit outage,Eliminate PostgreSQL public fallback,Avoid divergent search semantics/silent switch,studynexus-v4.7-remediation-package/studynexus-v4.7/README.md,Historical stakeholder/canonical authority as stated in source,ADOPTED,CURRENT,UNSPECIFIED,Underlying detailed decision ledger absent from TAR,"CURRENT TECHNICAL, MEDIUM TRACEABILITY",HIGH
D012,2026-08-19,2026-08-19,Acquisition trust,Where extraction/reconciliation operates,Production-connected vs external boundary,External acquisition with no production credentials; approved handoff,Protect canonical store and preserve review boundary,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/canonical/06-data-acquisition.md,Historical stakeholder/canonical authority as stated in source,ADOPTED,CURRENT,UNSPECIFIED,V4.7 changes signing/atomicity mechanics,CURRENT PRINCIPLE,HIGH
