unique_content_id,representative_path,duplicate_copy_count,file_classification,semantically_examined,product_relevant_evidence_found,claim_ids_derived,decision_ids_derived,discovery_problem_findings,changed_canonical_conclusion,final_disposition,disposition_reason
004d193da7c8a1d12b1025f4693feece2f5a209a46747b2ad49680190fbde165,Catchments-ELDS-Additions-03-09-2026.md,0,LATE PRODUCT DISCOVERY,YES,YES,C036 | C037 | C038 | C051 | C070 | C084,D014,"C036: Catchment/ELDS are admission-policy concepts, not permanent institution attributes. || C037: Catchment can vary by institution/campus/programme/admission context and must preserve authoritative policy basis. || C038: Nigeria-first must not mean Nigeria-hardcoded; Nigerian concepts should be represented by underlying semantics plus jurisdiction-specific terminology/classification.",YES,PRODUCT_EVIDENCE,Late product-discovery addition examined at claim level; status preserved as approved/proposed.
39d6828ca1a84fd111321c1d05b58dd11b4e084fa670d634f4c6d1d7df224746,Education Services & Access - Product Discovery Additions 03-09-2026.md,0,LATE PRODUCT DISCOVERY,YES,YES,C048 | C049 | C052 | C067 | C070 | C077,D018,"C048: Education Services & Access helps users find where/how to complete education-related tasks, with information, discovery, guidance and authoritative handoff rather than operating external services. || C049: Service discovery should be task/service-oriented rather than merely an organization/location directory. || C052: Corpus has institutions, regulators/exam authorities, scholarship providers, publishers/government/service providers, but does not establish one universal Organization identity model.",YES,PRODUCT_EVIDENCE,Late product-discovery addition examined at claim level; status preserved as approved/proposed.
764d821a933a732d46b256ca967160da0c702790cd2a7dd9445a440ca2a6cbce,JSONB usage principles 02-09-26.md,0,TECHNICAL PRINCIPLE,YES,NO,C060,,"C060: JSONB should be exception/source-raw for variable document-like data, not default canonical domain modelling.",NO,TECHNICAL_CONSTRAINT,Technical modelling guidance; examined to ensure it does not masquerade as product need.
b2eff185556a4ff128ad6d3a55ddf517f88942f67a1689b3be62db8c0483b667,MANIFEST.md,1,META/ORIENTATION,YES,NO,,,Categories observed: USERS_JOBS,NO,METADATA_ONLY,Examined for authority/chronology/coverage; no independent product claim unless linked in ledgers.
2ffac781d202a1ebea360ed92c5a5a69b24e4a8aa77f4bf00471d6c6c90b704b,News  Post-UTME - Product Discovery Additions 03-09-2026.md,0,LATE PRODUCT DISCOVERY,YES,YES,,,"Categories observed: USERS_JOBS, TRUST_PROVENANCE, ADMISSIONS, FUNDING, EXAMINATIONS, CONTENT_NEWS, SEARCH_DISCOVERY_SEO, INTERNATIONAL, ENGAGEMENT",NO,PRODUCT_EVIDENCE,Late product-discovery addition examined at claim level; status preserved as approved/proposed.
398db515fa3e6df8dbcc69186d7fb9e973856b89eb322eb179de74083a9f5cb5,News Post-UTME - Product Discovery Additions V2 03-09-2026.md,0,LATE PRODUCT DISCOVERY,YES,YES,C030 | C045 | C046 | C047 | C070 | C076,D016 | D017,C030: Automated/AI extraction may assist but is not authoritative and must not silently become canonical truth. || C045: News reports/explains/contextualizes changes but does not become canonical owner of the underlying fact. || C046: Time-sensitive News and evergreen educational content have distinct user purposes/lifecycles.,YES,PRODUCT_EVIDENCE,Late product-discovery addition examined at claim level; status preserved as approved/proposed.
2605abb52242ed2eb90a8a260c7a0aee9f925bd3098b7fa716906963aa01ead1,PRE-IMPLEMENTATION-BASELINE-REPORT.md,2,META/ORIENTATION,YES,NO,,,"Categories observed: TRUST_PROVENANCE, ADMISSIONS, SEARCH_DISCOVERY_SEO",NO,METADATA_ONLY,Examined for authority/chronology/coverage; no independent product claim unless linked in ledgers.
abf807dd295540a136853f6db4fc5df2de0df1b6ab945e196465e11840c91be0,Proposed Product Discovery Addition 02-09-2026.md,0,LATE PRODUCT DISCOVERY,YES,YES,C043 | C044 | C078,D019,"C043: Sep02 proposes exam information model: authority → product → administration → schedule events, with cancellations/postponements/history/source conflicts and informational handoff boundary. || C044: Exam practice, attempts, scoring and learner progress are different future concerns from timetable/reference information. || C078: Examination information is a current product-scope candidate; timetable/schedule semantics are still proposed rather than adopted, while practice/attempts/scoring/progress are a distinct deferred concern.",YES,PRODUCT_EVIDENCE,Late product-discovery addition examined at claim level; status preserved as approved/proposed.
e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,Ranking - Product Discovery Additions 03-09-2026.md,0,EMPTY_DOCUMENT,YES,NO,C050 | C085,,C050: The dedicated ranking addition file contains no substantive evidence. || C085: Rankings/institutional intelligence remain genuinely unresolved: the dedicated September ranking file is empty and architecture references alone do not prove a user problem or current capability.,YES,METADATA_ONLY,Byte-empty; no substantive evidence.
cb5eb3d24f1bd7fd516338544e506c7abdf430198372f88a7887c5bac6e17348,Scholarships - Product Discovery Additions 03-09-2026.md,0,LATE PRODUCT DISCOVERY,YES,YES,C039 | C040 | C068 | C070,D015,"C039: Funding discovery should cover broader FundingOpportunity, not only scholarship, and inform/explain/match/handoff rather than operate provider application/selection/disbursement. || C040: Funding eligibility is distinct from provider selection. || C068: Historical validity/time matters for cutoffs, policies, sources, scholarship cycles, exam schedules and news updates; history is contextual rather than one universal fact-version concept.",YES,PRODUCT_EVIDENCE,Late product-discovery addition examined at claim level; status preserved as approved/proposed.
