path,directory,filename,bytes,words,extension,depth,readable,is_empty,sha256,exact_duplicate_group_size,duplicate_representative,is_exact_duplicate_copy,near_duplicate_cluster,unique_document_disposition,semantic_examination_status,headings
Catchments-ELDS-Additions-03-09-2026.md,.,Catchments-ELDS-Additions-03-09-2026.md,16561,1966,.md,0,TRUE,FALSE,004d193da7c8a1d12b1025f4693feece2f5a209a46747b2ad49680190fbde165,1,Catchments-ELDS-Additions-03-09-2026.md,FALSE,,PRODUCT_EVIDENCE,YES,Catchment / ELDS — Product Discovery Additions | 1. Purpose | 2. International Extensibility Principle | 3. Catchment | 3.1 Definition | 3.2 Catchment is not an Institution Attribute | 3.3 Catchment Scope | 3.4 Candidate Geographic Basis
Education Services & Access - Product Discovery Additions 03-09-2026.md,.,Education Services & Access - Product Discovery Additions 03-09-2026.md,26737,3106,.md,0,TRUE,FALSE,39d6828ca1a84fd111321c1d05b58dd11b4e084fa670d634f4c6d1d7df224746,1,Education Services & Access - Product Discovery Additions 03-09-2026.md,FALSE,,PRODUCT_EVIDENCE,YES,Education Services & Access — Product Discovery Additions | 1. Purpose | 2. Product Boundary | 3. Core Principle | 4. Education Service Point | 5. Organization vs Location vs Service | 6. Service | 7. Nigerian vs International Terminology
JSONB usage principles 02-09-26.md,.,JSONB usage principles 02-09-26.md,1919,203,.md,0,TRUE,FALSE,764d821a933a732d46b256ca967160da0c702790cd2a7dd9445a440ca2a6cbce,1,JSONB usage principles 02-09-26.md,FALSE,,TECHNICAL_CONSTRAINT,YES,JSONB Usage Principle
MANIFEST.md,.,MANIFEST.md,6575,498,.md,0,TRUE,FALSE,b2eff185556a4ff128ad6d3a55ddf517f88942f67a1689b3be62db8c0483b667,2,MANIFEST.md,FALSE,,METADATA_ONLY,YES,StudyNexus — Pre-Implementation Baseline Manifest | File Registry | Summary | Verification Instructions | For each file in the manifest: | ... (all hashes from the table above)
News  Post-UTME - Product Discovery Additions 03-09-2026.md,.,News  Post-UTME - Product Discovery Additions 03-09-2026.md,23218,2668,.md,0,TRUE,FALSE,2ffac781d202a1ebea360ed92c5a5a69b24e4a8aa77f4bf00471d6c6c90b704b,1,News  Post-UTME - Product Discovery Additions 03-09-2026.md,FALSE,,PRODUCT_EVIDENCE,YES,News / Post-UTME — Product Discovery Additions | 1. Purpose | 2. Core News Principle | 3. News Scope | 4. News Content Types | 5. Evergreen Educational Content | 6. Entity-Centric News | 7. News Categories
News Post-UTME - Product Discovery Additions V2 03-09-2026.md,.,News Post-UTME - Product Discovery Additions V2 03-09-2026.md,22174,2514,.md,0,TRUE,FALSE,398db515fa3e6df8dbcc69186d7fb9e973856b89eb322eb179de74083a9f5cb5,1,News Post-UTME - Product Discovery Additions V2 03-09-2026.md,FALSE,,PRODUCT_EVIDENCE,YES,News / Post-UTME — Product Discovery Additions | 1. Purpose | 2. Core News Principle | 3. News Scope | 4. Content Types | 5. News vs Evergreen Educational Content | 6. Entity-Centric News | 7. Categories and Taxonomy
PRE-IMPLEMENTATION-BASELINE-REPORT.md,.,PRE-IMPLEMENTATION-BASELINE-REPORT.md,6305,729,.md,0,TRUE,FALSE,2605abb52242ed2eb90a8a260c7a0aee9f925bd3098b7fa716906963aa01ead1,3,PRE-IMPLEMENTATION-BASELINE-REPORT.md,FALSE,,METADATA_ONLY,YES,StudyNexus — Pre-Implementation Baseline Report | 1. Baseline Location | 2. Canonical Documents: 6 | 3. Product Experience / UX / UI Documents: 3 | 4. Governance Documents: 2 | 5. Archived Files: 31 | 6. Total Files Preserved: 43 | 7. ZIP Archive
Proposed Product Discovery Addition 02-09-2026.md,.,Proposed Product Discovery Addition 02-09-2026.md,19951,2420,.md,0,TRUE,FALSE,abf807dd295540a136853f6db4fc5df2de0df1b6ab945e196465e11840c91be0,1,Proposed Product Discovery Addition 02-09-2026.md,FALSE,,PRODUCT_EVIDENCE,YES,Timetable / Product Discovery Additions | 1. Purpose | 2. Product Boundary | StudyNexus owns | StudyNexus does not own | 3. Core Conceptual Model | Example | 4. Examination Product
Ranking - Product Discovery Additions 03-09-2026.md,.,Ranking - Product Discovery Additions 03-09-2026.md,0,0,.md,0,TRUE,TRUE,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1,Ranking - Product Discovery Additions 03-09-2026.md,FALSE,,METADATA_ONLY,YES,
Scholarships - Product Discovery Additions 03-09-2026.md,.,Scholarships - Product Discovery Additions 03-09-2026.md,28651,3200,.md,0,TRUE,FALSE,cb5eb3d24f1bd7fd516338544e506c7abdf430198372f88a7887c5bac6e17348,1,Scholarships - Product Discovery Additions 03-09-2026.md,FALSE,,PRODUCT_EVIDENCE,YES,Scholarships — Product Discovery Additions | 1. Purpose | 2. Scope Boundary | 3. Research Basis | 4. International Extensibility Principle | 5. Funding Opportunity | 6. Opportunity vs Award | 7. Funding Opportunity vs Cycle / Call
StudyNexus-Independent-Audit-Package-v3/00-ORIENTATION/AUTHORITY-HIERARCHY.md,StudyNexus-Independent-Audit-Package-v3/00-ORIENTATION,AUTHORITY-HIERARCHY.md,3906,482,.md,2,TRUE,FALSE,91def91d2341a456b836bc0fe12f32a6e05e1db3efeb487e3fb717bc70c27cda,1,StudyNexus-Independent-Audit-Package-v3/00-ORIENTATION/AUTHORITY-HIERARCHY.md,FALSE,,METADATA_ONLY,YES,Authority Hierarchy | TIER 1 — Current Canonical Authority (HIGHEST) | TIER 2 — Product Experience Authority | TIER 3 — Current Implementation Plan | TIER 4 — Governance / Decision Evidence | TIER 5 — Product Strategy / Competitive Research | TIER 6 — Historical
StudyNexus-Independent-Audit-Package-v3/00-ORIENTATION/CURRENT-STATE-MAP.md,StudyNexus-Independent-Audit-Package-v3/00-ORIENTATION,CURRENT-STATE-MAP.md,2330,274,.md,2,TRUE,FALSE,cd30b0dd3843f29de8fb4b5c29785e85697ac891531f68827778492ea450f9ee,1,StudyNexus-Independent-Audit-Package-v3/00-ORIENTATION/CURRENT-STATE-MAP.md,FALSE,,METADATA_ONLY,YES,Current State Map | Key Facts | Canonical Counts | Technology Stack
