id,date,context,problem,alts,decision,reason,evidence,challenge,status
D001,2026-08-07/08,Business discovery,Define product identity,Directory/portal vs knowledge platform,Trusted education knowledge platform; search/discover/compare/verify,Solves fragmented/trust/comparison/accessibility problems,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/03-approved-decisions.md,No direct user validation,CURRENT
D002,2026-08-08,Persona priority,Sequence primary users,Equal vs ranked,Secondary student/graduate > undergraduate > parent > counsellor,Business impact/usage/strategic value judgment,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/04-open-questions.md,No analytics/interviews,CURRENT ASSUMPTION
D003,2026-08-08,MVP identity,Need accounts?,Account-first vs anonymous core,No account for core MVP,Core discovery/search/compare requires no persistence,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/04-open-questions.md,Future personalization needs identity,CURRENT MVP
D004,2026-08-08,Eligibility,Should system determine eligibility?,Information only vs automation,"Start self-assessment, progress to structured evaluation",Rule reliability must mature first,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/04-open-questions.md,Future rule engine ideas,DEFERRED AUTOMATION
D005,2026-08-08,Geography,Day-one countries,Nigeria + foreign vs Nigeria only,Nigeria only initially,Prove local model first,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/04-open-questions.md,Sep additions stress international semantics,CURRENT SCOPE
D006,2026-08-07,Domain modelling,Programme Offering/Campus,Add entity now vs keep simple,Rejected/deferred,Perceived insufficient independent behavior/complexity,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/18-domain-resolution-analysis.md,Audit later found concrete instance variation,REVERSED
D007,2026-08-18,Domain remediation,Programme instance/campus variation,Keep Programme-only vs add instance/campus,Add ProgrammeInstance + Campus,"Campus, delivery mode, academic year variation",StudyNexus-Independent-Audit-Package-v4/03-IMPLEMENTATION/STUDYNEXUS-CANONICAL-REMEDIATION-REPORT.md,Sep18 introduces InstitutionOffering terminology,CURRENT BUT SEMANTICS OPEN
D008,2026-08-19,Admissions scoping,Where policies/cutoffs apply,Programme vs ProgrammeInstance,Move to ProgrammeInstance with institution fallback,Different concrete instances can differ,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/V4.2-REMEDIATION-REPORT.md,InstitutionOffering reconciliation unresolved,CURRENT DISCOVERY SIGNAL
D009,2026-08-10/19,First public vertical slice,How much scholarship UX,Full scholarship public pages vs inline/admin,Public pages Phase2; entity/admin + inline relation in slice,Not required to validate programme-discovery loop,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/governance/DISCOVERY-CLOSURE.md,Sep03 approves richer scholarship model but no roadmap amendment,CURRENT UNTIL REVISED
D010,2026-08-10/19,Search serving,Search/detail data sources,Typesense vs PostgreSQL,Typesense list/search; PostgreSQL detail/canonical,Faceting/ranking vs full graph,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/governance/DISCOVERY-CLOSURE.md,V4.7 changes fallback only,CURRENT TECHNICAL
D011,2026-08-26,Search resilience,Postgres public fallback,Fallback vs explicit outage,Eliminate PostgreSQL public fallback,Avoid divergent search semantics/silent switch,studynexus-v4.7-remediation-package/studynexus-v4.7/README.md,Underlying detailed decision ledger absent from TAR,"CURRENT TECHNICAL, MEDIUM TRACEABILITY"
D012,2026-08-19,Acquisition trust,Where extraction/reconciliation operates,Production-connected vs external boundary,External acquisition with no production credentials; approved handoff,Protect canonical store and preserve review boundary,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/canonical/06-data-acquisition.md,V4.7 changes signing/atomicity mechanics,CURRENT PRINCIPLE
D013,2026-08-19,Missing source data,How to treat absence,Delete/unpublish vs review,MISSING ≠ DELETE,Absence is ambiguous evidence,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/canonical/06-data-acquisition.md,Reaffirmed Sep18,CURRENT HARD PRINCIPLE
D014,2026-09-03,Admissions geography,Catchment/ELDS model,Institution attr vs policy context,Policy-context geography; ELDS jurisdiction-specific,Varies by policy/campus/programme/cycle,Catchments-ELDS-Additions-03-09-2026.md,Implementation scope not placed,CURRENT DISCOVERY
D015,2026-09-03,Funding discovery,Scholarship-only vs broader funding,Scholarship entity vs FundingOpportunity,Broaden to FundingOpportunity and provider handoff,Real opportunities vary in benefits/criteria/cycles,Scholarships - Product Discovery Additions 03-09-2026.md,Phase2 public UX from earlier closure,CURRENT DISCOVERY; ROADMAP DEFERRED
D016,2026-09-03,News,What owns changed facts,News as fact store vs reporting layer,Underlying canonical domain owns fact; News reports/explains,Avoid duplicate truth,News Post-UTME - Product Discovery Additions V2 03-09-2026.md,No contradiction,CURRENT DISCOVERY
D017,2026-09-03,Post-UTME,Classification,News/exam vs admissions screening,Treat as institutional admission screening/assessment,Term is Nigeria-specific and function is admissions-related,News Post-UTME - Product Discovery Additions V2 03-09-2026.md,Earlier casual grouping may differ,CURRENT DISCOVERY
D018,2026-09-03,Education services,Directory vs task-oriented discovery,Organization directory vs service/task model,Model user task/service access and authoritative handoff,Users ask where/how to do task,Education Services & Access - Product Discovery Additions 03-09-2026.md,Roadmap placement unknown,CURRENT DISCOVERY
D019,2026-09-02,Examination scheduling,Minimum exam info model,Single exam/date vs authority/product/administration/events,Proposed authority→product→administration→schedule events,Handles recurring administrations and revisions,Proposed Product Discovery Addition 02-09-2026.md,Not approved; exams previously Phase2,PROPOSED
