source_id,original_path,filename,extension,byte_size,sha256,exact_duplicate_group,near_duplicate_group,document_type,subject,temporal/status_classification,authority_classification,disposition,reconstructed_document_id,superseded_by,duplicate_of,notes
SRC-0001,Catchments-ELDS-Additions-03-09-2026.md,Catchments-ELDS-Additions-03-09-2026.md,.md,16561,004d193da7c8a1d12b1025f4693feece2f5a209a46747b2ad49680190fbde165,,,MARKDOWN,"Geography, Catchment and ELDS",CURRENT_SUPPORTING,SUPPORTING,MERGE_INTO_RECONSTRUCTED_DOCUMENT,COR-INST-002,,,Late corpus addition; current authority remains the accepted Product Discovery handoff.
SRC-0002,Education Services & Access - Product Discovery Additions 03-09-2026.md,Education Services & Access - Product Discovery Additions 03-09-2026.md,.md,26737,39d6828ca1a84fd111321c1d05b58dd11b4e084fa670d634f4c6d1d7df224746,,,MARKDOWN,Education Services and Access,CURRENT_SUPPORTING,SUPPORTING,MERGE_INTO_RECONSTRUCTED_DOCUMENT,COR-SVC-001,,,Late corpus addition; current authority remains the accepted Product Discovery handoff.
SRC-0003,JSONB usage principles 02-09-26.md,JSONB usage principles 02-09-26.md,.md,1919,764d821a933a732d46b256ca967160da0c702790cd2a7dd9445a440ca2a6cbce,,,MARKDOWN,"Historical Data Model, Schema and JSONB",CURRENT_SUPPORTING,SUPPORTING,MERGE_INTO_RECONSTRUCTED_DOCUMENT,COR-DATA-003,,,Late corpus addition; current authority remains the accepted Product Discovery handoff.
SRC-0004,MANIFEST.md,MANIFEST.md,.md,6575,b2eff185556a4ff128ad6d3a55ddf517f88942f67a1689b3be62db8c0483b667,EDG-057,,MARKDOWN,"Handoff, Manifest and Archive Structure History",ARCHIVE_ONLY,ARCHIVE_REFERENCE,ARCHIVE_ONLY,COR-HIST-003,,,Package/archive scaffolding retained in source ledger and archive-history dossier.
SRC-0005,News  Post-UTME - Product Discovery Additions 03-09-2026.md,News  Post-UTME - Product Discovery Additions 03-09-2026.md,.md,23218,2ffac781d202a1ebea360ed92c5a5a69b24e4a8aa77f4bf00471d6c6c90b704b,,NDG-001,MARKDOWN,"News, Editorial and Time-Sensitive Information",CURRENT_SUPPORTING,SUPPORTING,MERGE_INTO_RECONSTRUCTED_DOCUMENT,COR-CONTENT-002,,,Late corpus addition; current authority remains the accepted Product Discovery handoff.
SRC-0006,News Post-UTME - Product Discovery Additions V2 03-09-2026.md,News Post-UTME - Product Discovery Additions V2 03-09-2026.md,.md,22174,398db515fa3e6df8dbcc69186d7fb9e973856b89eb322eb179de74083a9f5cb5,,NDG-001,MARKDOWN,"News, Editorial and Time-Sensitive Information",CURRENT_SUPPORTING,SUPPORTING,MERGE_INTO_RECONSTRUCTED_DOCUMENT,COR-CONTENT-002,,,Late corpus addition; current authority remains the accepted Product Discovery handoff.
SRC-0007,PRE-IMPLEMENTATION-BASELINE-REPORT.md,PRE-IMPLEMENTATION-BASELINE-REPORT.md,.md,6305,2605abb52242ed2eb90a8a260c7a0aee9f925bd3098b7fa716906963aa01ead1,EDG-015,,MARKDOWN,"Information Quality, Corrections and Community Inputs",HISTORICAL,HISTORICAL_SUPPORT,MERGE_INTO_RECONSTRUCTED_DOCUMENT,COR-QUAL-001,,,Historical baseline/source material consolidated by subject; original preserved.
SRC-0008,Proposed Product Discovery Addition 02-09-2026.md,Proposed Product Discovery Addition 02-09-2026.md,.md,19951,abf807dd295540a136853f6db4fc5df2de0df1b6ab945e196465e11840c91be0,,,MARKDOWN,"Examinations, Schedules and Timetables",HISTORICAL,HISTORICAL_SUPPORT,MERGE_INTO_RECONSTRUCTED_DOCUMENT,COR-ADM-003,StudyNexus-Canonical-Product-Discovery-FINAL.md for current product meaning,,Unique historical source consolidated by subject; original preserved.
SRC-0009,Ranking - Product Discovery Additions 03-09-2026.md,Ranking - Product Discovery Additions 03-09-2026.md,.md,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,,MARKDOWN,Search vs Discovery,ARCHIVE_ONLY,ARCHIVE_REFERENCE,ARCHIVE_ONLY,COR-SEARCH-001,,,EMPTY SOURCE; no content invented.
SRC-0010,Scholarships - Product Discovery Additions 03-09-2026.md,Scholarships - Product Discovery Additions 03-09-2026.md,.md,28651,cb5eb3d24f1bd7fd516338544e506c7abdf430198372f88a7887c5bac6e17348,,,MARKDOWN,Funding and Scholarships,CURRENT_SUPPORTING,SUPPORTING,MERGE_INTO_RECONSTRUCTED_DOCUMENT,COR-ADM-002,,,Late corpus addition; current authority remains the accepted Product Discovery handoff.
