near_duplicate_group,source_id,representative_path,sha256,family_assessment,title
NDG-001,SRC-0005,News  Post-UTME - Product Discovery Additions 03-09-2026.md,2ffac781d202a1ebea360ed92c5a5a69b24e4a8aa77f4bf00471d6c6c90b704b,ESSENTIALLY_SAME_DOCUMENT,News / Post-UTME — Product Discovery Additions
NDG-001,SRC-0006,News Post-UTME - Product Discovery Additions V2 03-09-2026.md,398db515fa3e6df8dbcc69186d7fb9e973856b89eb322eb179de74083a9f5cb5,ESSENTIALLY_SAME_DOCUMENT,News / Post-UTME — Product Discovery Additions
NDG-002,SRC-0253,StudyNexus-V4.3-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/00-ORIENTATION/AUTHORITY-HIERARCHY.md,39b65737044882254a46fca3d919e2d5c4d850f1281220fe98e396709becf58e,ESSENTIALLY_SAME_DOCUMENT,StudyNexus V4.2 — Authority Hierarchy & Document Classification
NDG-002,SRC-0481,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/00-ORIENTATION/AUTHORITY-HIERARCHY.md,61d4f6212b8e1d5221e074a76acb5a7854da9fd7757fb6b7cfa90ab88f373595,ESSENTIALLY_SAME_DOCUMENT,StudyNexus V4.6 — Authority Hierarchy & Document Classification
NDG-003,SRC-0291,StudyNexus-V4.3-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/GLOSSARY.md,b6ebaf6e6501965ab219d2f3ceb3de7d3d51c9ebb6b0e1454b02e1226d54e680,ESSENTIALLY_SAME_DOCUMENT,StudyNexus V4.2 — Domain Glossary
NDG-003,SRC-0519,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/GLOSSARY.md,b748543350d18a794a6914cd5d4e4e2db0b3837886d47284d7f53a71ec290454,ESSENTIALLY_SAME_DOCUMENT,StudyNexus V4.6 — Domain Glossary
NDG-004,SRC-0251,StudyNexus-V4.2-Developer-Handoff v2/PRE-IMPLEMENTATION-BASELINE-V2/README.md,d03eff1d98ad1a584e4106b218626a2b887389fa16f24aef84546dc33837393d,SAME_SUBJECT_EVOLVED_CONTENT,StudyNexus V4.2 — Developer Handoff
NDG-004,SRC-0308,StudyNexus-V4.3-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/README.md,6453a7dbeb042318228381acbec6b124d92844350585c418180b2f9c3985a7f6,SAME_SUBJECT_EVOLVED_CONTENT,StudyNexus V4.2 — Developer Handoff
NDG-004,SRC-0422,StudyNexus-V4.5-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/README.md,d46a9effa374eeca5848385c1ed929126f1844dc439e8af11c93b638e4fdb0fa,SAME_SUBJECT_EVOLVED_CONTENT,StudyNexus V4.2 — Developer Handoff
NDG-004,SRC-0536,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/README.md,16821501e9ea1d8b852f191f822184eecacdde68b9d44f30eb7f4ba395abf765,SAME_SUBJECT_EVOLVED_CONTENT,StudyNexus V4.6 — Developer Handoff
