scope_id,capability_or_concept,historical_discovery_status,historical_delivery_status,current_scope_status,decision_status,evidence_confidence,current_assessment
S001,Comparison,Approved as one of five problem dimensions and core MVP capabilities; dedicated comparison view later deferred,Dedicated view historical Phase 2,CURRENT / STRATEGIC_MVP,ADOPTED,HIGH,Capability is current; dedicated UI is not prerequisite to first slice.
S002,Funding / Scholarships,Scholarships in early product; Sep03 approved broader FundingOpportunity discovery,Public faceted search historically Phase 2,CURRENT / STRATEGIC_MVP,APPROVED,HIGH,Current scope. Minimum public experience should be specified separately from old sequencing.
S003,Catchment / ELDS,Sep03 Approved Product Discovery Addition,No explicit old delivery placement,CURRENT,APPROVED,HIGH,Current admissions information scope; jurisdiction-specific semantics.
S004,News,Sep03 Approved Product Discovery Addition,Content historically later than core slice,CURRENT,APPROVED,HIGH,Current product capability; does not own changed canonical facts.
S005,Education Services & Access,Sep03 Approved Product Discovery Addition,No explicit historical roadmap placement,CURRENT,APPROVED,HIGH,Current capability family; breadth must be prioritized at capability-minimum level.
S006,Examination information / schedules,Early exam information interest; Sep02 detailed proposal,Historically excluded from first programme-discovery slice,CURRENT_SCOPE_PENDING_DECISION,PROPOSED,MEDIUM,Current scope under consideration; proposed schedule model not yet canonical.
S007,Exam practice / attempts / scoring / progress,Mentioned as future/distinct from timetable/reference information,Historically Phase 2+ / future,DEFERRED,PROPOSED/DEFERRED,MEDIUM,Keep separate from examination information until direct product discovery justifies it.
S008,Evergreen content / guides / resources,Platform/content work repeatedly proposes guides/resources; News V2 explicitly distinguishes evergreen content,Historical Phase 1c/1e or Phase2 depending subtype,CURRENT_SCOPE_PENDING_CAPABILITY_MINIMUM,PROPOSED/PLATFORM-ADOPTED,MEDIUM,"Current scope by remediation rule, but product outcomes/content taxonomy need revalidation."
S009,Career pathways,Explicit primary-user information need,Later focused work largely silent,CURRENT_UNDERSPECIFIED,DISCOVERED_NEED,MEDIUM,"No rejection found; current need, capability definition requires research."
S010,Undergraduate current journey / WF7,Explicitly resolved approved workflow,Omitted from first focused slice,CURRENT,ADOPTED,HIGH,Current workflow; first-slice omission is not supersession.
S011,Transfers,Explicit undergraduate need and WF7 example,Underdeveloped later,CURRENT_UNDERSPECIFIED,DISCOVERED_NEED,MEDIUM,Current need; no explicit rejection.
S012,Postgraduate opportunities,Explicit undergraduate need / pathways example,Underdeveloped later,CURRENT_UNDERSPECIFIED,DISCOVERED_NEED,MEDIUM,Current need; no explicit rejection.
S013,Internships,Explicit undergraduate need,Underdeveloped later,CURRENT_UNDERSPECIFIED,DISCOVERED_NEED,MEDIUM,Current need; no explicit rejection.
S014,Community/user-contributed information,Official/Verified/Historical/Community-Contributed trust category; user reports approved quality input,Full community/Q&A historically later/speculative,CURRENT_AS_INFORMATION_QUALITY_INPUT; FULL_SOCIAL_COMMUNITY_UNKNOWN,PARTIAL,HIGH/MEDIUM,Preserve evidence/report channel; do not infer a social network/community product.
S015,Rankings / institutional intelligence,Scattered references; dedicated Sep ranking file empty,No reliable delivery commitment,UNKNOWN,UNRESOLVED,HIGH that evidence is insufficient,Do not promote architecture speculation into product scope without fresh problem discovery.
S016,Public accounts,Explicitly not required for core MVP,Historically Phase 2,EXCLUDED_FROM_STRATEGIC_MVP,ADOPTED EXCLUSION,HIGH,May become current later only if persistent user capability is approved.
S017,Personalization,Historical Stage2 capability; depends on persistent identity/preferences,Later than core MVP,DEFERRED,ADOPTED FUTURE DIRECTION,HIGH,Not current MVP because account dependency is explicitly excluded.
S018,Notifications,Historical Stage2 capability; depends on accounts/preferences,Later than core MVP,DEFERRED,ADOPTED FUTURE DIRECTION,HIGH,Not current MVP while account/persistence dependency remains excluded.
S019,Institution/provider participation,Explicit Stage3 / MVP exclusion,Future Stage3,EXCLUDED_FROM_STRATEGIC_MVP,ADOPTED EXCLUSION,HIGH,Current product may consume their evidence but does not require self-service.
S020,Public APIs / third-party platform,Explicit Stage4 / MVP exclusion,Future Stage4,EXCLUDED_FROM_STRATEGIC_MVP,ADOPTED EXCLUSION,HIGH,Not current MVP.
S021,International public rollout,Explicit Nigeria-first/day-one exclusion,Future after Nigerian model matures,EXCLUDED_FROM_STRATEGIC_MVP_DELIVERY,ADOPTED EXCLUSION,HIGH,Do not launch multi-country now; international variability remains a current semantic stress test.
S022,Internationalization semantics,Later approved additions reject Nigeria-hardcoding,Present semantic/design constraint,CURRENT,APPROVED PRINCIPLE,HIGH,Current semantics must preserve jurisdiction-specific terminology without speculative universalization.
S023,Eligibility requirements/self-assessment,Approved workflow; users need requirements to assess themselves,Core workflow; exact automation later,CURRENT,ADOPTED,HIGH,Current product explains requirements and supports self-assessment.
S024,Automated eligibility evaluation,Explicitly deferred until rules are reliable/machine-actionable,Historical Phase2+/future,DEFERRED,ADOPTED DEFERRED,HIGH,Do not turn generic eligibility engine into current requirement.
S025,Programme / offering discovery classification,Sep18 proposed source-faithful offering + optional curated discovery concept,No historic delivery placement,CURRENT_SCOPE_PENDING_OWNER_RATIFICATION,RESOLVED_WITH_EXPLICIT_ASSUMPTION_FOR_UL,MEDIUM-HIGH,Use as UL input under explicit assumption; schema remains open.
